====================
Dataset: yahoo
====================

nDCG@10
Recommender	Full	Unbiased	Test
iMF (full)	0.16761437989937883	0.02519039721636309	0.5758530933751839
iMF (test)	0.15214228904842908	0.025295122518555153	0.5815485087273922
kNN (full/test)	0.16115133951838406	0.024534952805829333	0.5720457636386957
Normalized kNN (full)	0.11167967170980046	0.018916750284681316	0.5564146036548171
Normalized kNN (test)	0.003516001085572694	0.004804372842626826	0.576992812245307
Average Rating	0.0015737805518714052	0.0037743357407413356	0.5718063330021307
Popularity	0.09270113462303851	0.013879507667957373	0.5482532537586259
Random	0.0042895192389180905	0.0026013228131705466	0.5328829722094642

P@10
Recommender	Full	Unbiased	Test
iMF (full)	0.0565037037037037	0.006659259259259259	0.1703925925925926
iMF (test)	0.052688888888888896	0.006848148148148149	0.17081111111111114
kNN (full/test)	0.05440740740740742	0.006540740740740741	0.16986296296296297
Normalized kNN (full)	0.04293703703703704	0.005396296296296297	0.16821481481481482
Normalized kNN (test)	0.0016666666666666666	0.0015703703703703706	0.16987407407407407
Average Rating	7.88888888888889E-4	0.0015074074074074074	0.1696222222222222
Popularity	0.035055555555555555	0.004240740740740741	0.16802592592592594
Random	0.001948148148148148	8.666666666666668E-4	0.16686296296296296

Recall@10
Recommender	Full	Unbiased	Test
iMF (full)	0.23530617052376748	0.04452664609053498	0.6637905676442359
iMF (test)	0.22455620156705924	0.04529288653733098	0.664609749813554
kNN (full/test)	0.22774586428025181	0.0427104203409759	0.6630193983101498
Normalized kNN (full)	0.1841459374851146	0.034900264550264556	0.6589245756618459
Normalized kNN (test)	0.0064976114616662	0.008439976484420929	0.6633609883944437
Average Rating	0.0027976274764120192	0.008447369194591417	0.6631101658122989
Popularity	0.14564295247477968	0.026007965902410345	0.6596303890285617
Random	0.007045600040957134	0.0048522339800117584	0.6561511282134994
