====================
Dataset: ml1m/male
====================

P@10
Recommender	Full	Test
iMF (full)	0.30302932348187483	0.6669822211960286
iMF (test)	0.12839990764257675	0.6939044100669591
kNN (full/test)	0.26276148695451396	0.6697760332486723
Normalized kNN (full)	0.1537751096744401	0.6521357654121449
Normalized kNN (test)	0.05628723158623874	0.6819856845993997
Average Rating	0.019242669129531285	0.6770676518125145
Popularity	0.16404063726622026	0.6333040868159778
Random	0.005795428307550221	0.5506765181251444

Recall@10
Recommender	Full	Test
iMF (full)	0.22091158190103402	0.6042014081443569
iMF (test)	0.08785851081338632	0.6212028372121319
kNN (full/test)	0.18567840953675827	0.606939028240294
Normalized kNN (full)	0.1313356484743801	0.5912511538934665
Normalized kNN (test)	0.031433419791732184	0.6165823561559389
Average Rating	0.010745930951973182	0.6141090973197327
Popularity	0.09419946988603028	0.5896166055004602
Random	0.002782424825174079	0.548319498928241

nDCG@10
Recommender	Full	Test
iMF (full)	0.3725960888231084	0.839034712047944
iMF (test)	0.14749608509182163	0.8711401454557247
kNN (full/test)	0.3284209845009453	0.8427986096431852
Normalized kNN (full)	0.17758439883081462	0.8174911482172156
Normalized kNN (test)	0.05296171982428969	0.8589963777523473
Average Rating	0.017191983390690384	0.8517249074350894
Popularity	0.19175940980829806	0.7971468592113635
Random	0.006092320080954431	0.6849789337858168

FScore@10
Recommender	Full	Test
iMF (full)	0.20735098139438737	0.5242667069413195
iMF (test)	0.08473533746501564	0.5431668770989647
kNN (full/test)	0.17614967185743668	0.5268391510226035
Normalized kNN (full)	0.1140396234503066	0.5116016338299976
Normalized kNN (test)	0.033356147896046476	0.5368970893846633
Average Rating	0.011398812690361883	0.533921731415988
Popularity	0.09754875317690473	0.5055366879407781
Random	0.0030346156252715104	0.4568491538079759

