====================
Dataset: ml100k/female
====================

P@10
Recommender	Full	Test
iMF (full)	0.0	0.5032967032967033
iMF (test)	0.0	0.5195604395604396
kNN (full/test)	0.0	0.5199999999999999
Normalized kNN (full)	0.0	0.5191208791208791
Normalized kNN (test)	0.0	0.5261538461538461
Average Rating	0.0	0.5185347985347986
Popularity	0.0	0.49875457875457874
Random	0.0	0.46139194139194145

Recall@10
Recommender	Full	Test
iMF (full)	0.0	0.7085608222103228
iMF (test)	0.0	0.7160213779249285
kNN (full/test)	0.0	0.7169249502549365
Normalized kNN (full)	0.0	0.7133507590002566
Normalized kNN (test)	0.0	0.7211742140877405
Average Rating	0.0	0.7164607392782981
Popularity	0.0	0.7041728363252255
Random	0.0	0.681090887309169

nDCG@10
Recommender	Full	Test
iMF (full)	0.0	0.7575295609501147
iMF (test)	0.0	0.7691600873624493
kNN (full/test)	0.0	0.7748578766646472
Normalized kNN (full)	0.0	0.7684532235388798
Normalized kNN (test)	0.0	0.7879301505909673
Average Rating	0.0	0.7810742514446926
Popularity	0.0	0.7343515049122641
Random	0.0	0.6827522265825897

FScore@10
Recommender	Full	Test
iMF (full)	0.0	0.4986147914265445
iMF (test)	0.0	0.5090135717521359
kNN (full/test)	0.0	0.5095138274696464
Normalized kNN (full)	0.0	0.5070460019102397
Normalized kNN (test)	0.0	0.5142769230358913
Average Rating	0.0	0.5087810730970868
Popularity	0.0	0.4942614310723883
Random	0.0	0.4676965023449573

