====================
Dataset: yahoo-popular
====================

P@10
Target size	Correlation with unbiased evaluation	Expected intersection ratio in top n	Ratio of ties	Ratio of ties at zero	Sum of p-values
0	0.5277777777777778	0.9789922037307075	0.9740236625514407	0.3226604938271606	539.9100426175216
1	0.5	0.9741205359856175	0.9661954732510291	0.3227572016460905	459.3783383269594
2	0.611111111111111	0.9673609655939911	0.9571141975308639	0.32279526748971193	299.77033933716655
5	0.611111111111111	0.9296132651420519	0.9141378600823045	0.32334053497942394	217.121900550169
10	0.611111111111111	0.7309677511153229	0.7839043209876545	0.3264639917695474	130.23697914547787
20	0.6666666666666666	0.42042942145432444	0.6849269547325103	0.33953806584362134	77.2930625560557
50	0.7777777777777777	0.1863995390807514	0.6165833333333334	0.37359876543209874	66.03052107875718
100	0.7777777777777777	0.09722954347939652	0.5982397119341565	0.4201893004115227	60.25294957078458
200	0.7222222222222222	0.0499132448843965	0.6284526748971193	0.4861522633744856	82.4896824275397
500	0.7777777777777777	0.02031029743390879	0.6835967078189298	0.5714454732510288	70.30412317141953
1000	0.7777777777777777	0.01019951709876905	0.7275802469135801	0.6431779835390947	86.27025051922412

Recall@10
Target size	Correlation with unbiased evaluation	Expected intersection ratio in top n	Ratio of ties	Ratio of ties at zero	Sum of p-values
0	0.5	0.9789922037307075	0.9740236625514407	0.3226604938271606	598.4850488523845
1	0.5	0.9741205359856175	0.9661954732510291	0.3227572016460905	503.2049747837591
2	0.5	0.9673609655939911	0.9571141975308639	0.32279526748971193	383.2481378533255
5	0.5555555555555556	0.9296132651420519	0.9141378600823045	0.32334053497942394	301.21852089553875
10	0.611111111111111	0.7309677511153229	0.7839043209876545	0.3264639917695474	157.11069202754766
20	0.6666666666666666	0.42042942145432444	0.6849269547325103	0.33953806584362134	88.42712267599752
50	0.7222222222222222	0.1863995390807514	0.6165833333333334	0.37359876543209874	81.50310391260969
100	0.7222222222222222	0.09722954347939652	0.5982397119341565	0.4201893004115227	74.25931303857004
200	0.6666666666666666	0.0499132448843965	0.6284526748971193	0.4861522633744856	65.72746559431496
500	0.8333333333333333	0.02031029743390879	0.6835967078189298	0.5714454732510288	78.62752522895968
1000	0.7777777777777777	0.01019951709876905	0.7275802469135801	0.6431779835390947	103.59016842502334

nDCG@10
Target size	Correlation with unbiased evaluation	Expected intersection ratio in top n	Ratio of ties	Ratio of ties at zero	Sum of p-values
0	0.4444444444444444	0.9789922037307075	0.6436265432098767	0.3226604938271606	353.0116822302336
1	0.7222222222222222	0.9741205359856175	0.5408312757201647	0.3227572016460905	233.1766840260741
2	0.7777777777777777	0.9673609655939911	0.4962458847736626	0.32279526748971193	152.54799278270502
5	0.7777777777777777	0.9296132651420519	0.4435606995884773	0.32334053497942394	158.76199063473467
10	0.7777777777777777	0.7309677511153229	0.4045812757201646	0.3264639917695474	123.3193944155832
20	0.7777777777777777	0.42042942145432444	0.40225720164609047	0.33953806584362134	75.2762164468237
50	0.7777777777777777	0.1863995390807514	0.4311430041152264	0.37359876543209874	66.49340920787061
100	0.7222222222222222	0.09722954347939652	0.4685720164609053	0.4201893004115227	73.66643016763231
200	0.7222222222222222	0.0499132448843965	0.5174547325102881	0.4861522633744856	57.456630860209806
500	0.6666666666666666	0.02031029743390879	0.5919043209876542	0.5714454732510288	84.9467348981311
1000	0.611111111111111	0.01019951709876905	0.6567325102880659	0.6431779835390947	101.58726182325596

FScore@10
Target size	Correlation with unbiased evaluation	Expected intersection ratio in top n	Ratio of ties	Ratio of ties at zero	Sum of p-values
0	0.5	0.9789922037307075	0.9740236625514407	0.3226604938271606	535.8676810569474
1	0.5	0.9741205359856175	0.9661954732510291	0.3227572016460905	433.6519046663849
2	0.611111111111111	0.9673609655939911	0.9571141975308639	0.32279526748971193	305.17447572930973
5	0.5555555555555556	0.9296132651420519	0.9141378600823045	0.32334053497942394	204.11569745360987
10	0.611111111111111	0.7309677511153229	0.7839043209876545	0.3264639917695474	129.58166151808246
20	0.6666666666666666	0.42042942145432444	0.6849269547325103	0.33953806584362134	77.33382169154147
50	0.7777777777777777	0.1863995390807514	0.6165833333333334	0.37359876543209874	71.3197744997852
100	0.7777777777777777	0.09722954347939652	0.5982397119341565	0.4201893004115227	59.163288312119015
200	0.7222222222222222	0.0499132448843965	0.6284526748971193	0.4861522633744856	67.43692022317856
500	0.7777777777777777	0.02031029743390879	0.6835967078189298	0.5714454732510288	70.70383697705957
1000	0.7777777777777777	0.01019951709876905	0.7275802469135801	0.6431779835390947	85.10427530679117

