====================
Dataset: ml100k/old
====================

P@10
Recommender	Full	Test
iMF (full)	0.17307692307692307	0.5315384615384616
iMF (test)	0.14846153846153848	0.5288461538461539
kNN (full)	0.16846153846153847	0.5350000000000001
kNN (test)	0.15730769230769232	0.5384615384615384
Normalized kNN (full)	0.11961538461538461	0.5157692307692308
Normalized kNN (test)	0.03461538461538462	0.5253846153846153
Average Rating	0.047692307692307694	0.5203846153846154
Popularity	0.09576923076923077	0.5292307692307693
Random	0.01346153846153846	0.488076923076923

Recall@10
Recommender	Full	Test
iMF (full)	0.18649709439878256	0.7588506730955146
iMF (test)	0.18325899816940866	0.7609051203522291
kNN (full)	0.20001393698696246	0.7644985946569358
kNN (test)	0.18705957568426237	0.7688747294288086
Normalized kNN (full)	0.16058060310505726	0.7497824009645535
Normalized kNN (test)	0.026134962198723875	0.7617302486748547
Average Rating	0.0356160749096068	0.7591177405517743
Popularity	0.13391616348843996	0.7652282813656175
Random	0.00962184491471856	0.7414269684449678

nDCG@10
Recommender	Full	Test
iMF (full)	0.22657329418140262	0.8009288200414945
iMF (test)	0.2227791138674436	0.8059625988193689
kNN (full)	0.2541569019736879	0.8202611270927951
kNN (test)	0.2439869839164371	0.8203261494553361
Normalized kNN (full)	0.1640486814356254	0.7817851739033692
Normalized kNN (test)	0.035590200434802	0.8018036674981932
Average Rating	0.06432872422227075	0.7988902020700341
Popularity	0.16106676749248136	0.807618999729927
Random	0.01359877300129635	0.7330331767021955

FScore@10
Recommender	Full	Test
iMF (full)	0.1382677935294153	0.5222650703411442
iMF (test)	0.1258789294728809	0.5229995706017119
kNN (full)	0.13890965576041836	0.5266607270417931
kNN (test)	0.12915274219105974	0.5303848521292149
Normalized kNN (full)	0.10604829403594747	0.5124149729737303
Normalized kNN (test)	0.021733149946939166	0.5220955750338774
Average Rating	0.03156210609212475	0.5192276432122622
Popularity	0.08701698616117748	0.5258215017870759
Random	0.008980109343221784	0.5001612941916344

