====================
Dataset: ml10m
====================

P@10
Target size	Expected intersection ratio in top n	Ratio of ties	Ratio of ties at zero	Sum of p-values
0	0.0021676151874090526	0.798421372191864	0.08211900425015178	656.7912864039891
1	0.0021373526123757997	0.77762598664238	0.08287795992714025	1095.2473418032753
2	0.0021037048741053086	0.7703400121432911	0.09836065573770499	564.9552415253396
5	0.0019641109715875637	0.692167577413479	0.08378870673952642	501.4540265716115
10	0.0015397257430851026	0.5919854280510018	0.10003035822707956	587.4772351912324
20	9.415888892362086E-4	0.4965088038858531	0.09061930783242261	389.93090170110986
50	4.486739036321763E-4	0.42182756527018817	0.14905889496053434	255.64955188703118
100	2.45594891902113E-4	0.4175774134790528	0.1766848816029144	225.53059628987873
200	1.2866805962668217E-4	0.43579234972677605	0.25485731633272607	181.09749976414818
500	5.297943338024695E-5	0.46615057680631455	0.31542197935640554	255.4742806829993
1000	2.6936577486600715E-5	0.49620522161505776	0.38175470552519736	207.54124448441164
2000	1.371043051306928E-5	0.5546448087431695	0.4629629629629629	195.95797712877217
10681	2.4809000347151734E-6	0.625075895567699	0.5496357012750456	206.54185025950446

Recall@10
Target size	Expected intersection ratio in top n	Ratio of ties	Ratio of ties at zero	Sum of p-values
0	0.0021676151874090526	0.798421372191864	0.08211900425015178	683.9674104889783
1	0.0021373526123757997	0.77762598664238	0.08287795992714025	1009.3917468606459
2	0.0021037048741053086	0.7703400121432911	0.09836065573770499	715.3082107547792
5	0.0019641109715875637	0.692167577413479	0.08378870673952642	657.5254016734681
10	0.0015397257430851026	0.5919854280510018	0.10003035822707956	702.1470305402266
20	9.415888892362086E-4	0.4965088038858531	0.09061930783242261	582.4199633834036
50	4.486739036321763E-4	0.42182756527018817	0.14905889496053434	301.4816538862267
100	2.45594891902113E-4	0.4175774134790528	0.1766848816029144	256.3416887674047
200	1.2866805962668217E-4	0.43579234972677605	0.25485731633272607	300.1174724549867
500	5.297943338024695E-5	0.46615057680631455	0.31542197935640554	293.7778901043011
1000	2.6936577486600715E-5	0.49620522161505776	0.38175470552519736	242.54710907875048
2000	1.371043051306928E-5	0.5546448087431695	0.4629629629629629	270.2386296711139
10681	2.4809000347151734E-6	0.625075895567699	0.5496357012750456	260.871609248948

nDCG@10
Target size	Expected intersection ratio in top n	Ratio of ties	Ratio of ties at zero	Sum of p-values
0	0.0021676151874090526	0.3612629022465088	0.08211900425015178	806.4456682920365
1	0.0021373526123757997	0.2632058287795993	0.08287795992714025	640.2321034799081
2	0.0021037048741053086	0.2249544626593807	0.09836065573770499	480.118667531043
5	0.0019641109715875637	0.1715239829993928	0.08378870673952642	449.3120114775062
10	0.0015397257430851026	0.1709168184578021	0.10003035822707956	427.4519980905453
20	9.415888892362086E-4	0.14784456587735276	0.09061930783242261	281.421980472003
50	4.486739036321763E-4	0.1932301153612629	0.14905889496053434	229.17619151127263
100	2.45594891902113E-4	0.21599878567091682	0.1766848816029144	204.0395279274012
200	1.2866805962668217E-4	0.2832422586520947	0.25485731633272607	225.91570386490272
500	5.297943338024695E-5	0.33986035215543403	0.31542197935640554	250.95351398317732
1000	2.6936577486600715E-5	0.4005768063145112	0.38175470552519736	196.65639205362717
2000	1.371043051306928E-5	0.47859744990892533	0.4629629629629629	193.2021807716662
10681	2.4809000347151734E-6	0.5629933211900424	0.5496357012750456	218.403195994782

FScore@10
Target size	Expected intersection ratio in top n	Ratio of ties	Ratio of ties at zero	Sum of p-values
0	0.0021676151874090526	0.798421372191864	0.08211900425015178	657.7214521246601
1	0.0021373526123757997	0.77762598664238	0.08287795992714025	1041.6170259914334
2	0.0021037048741053086	0.7703400121432911	0.09836065573770499	636.3941936355914
5	0.0019641109715875637	0.692167577413479	0.08378870673952642	531.9122153747746
10	0.0015397257430851026	0.5919854280510018	0.10003035822707956	606.398740097275
20	9.415888892362086E-4	0.4965088038858531	0.09061930783242261	400.43445426075306
50	4.486739036321763E-4	0.42182756527018817	0.14905889496053434	244.27369160950832
100	2.45594891902113E-4	0.4175774134790528	0.1766848816029144	236.69328834859084
200	1.2866805962668217E-4	0.43579234972677605	0.25485731633272607	206.90266052658956
500	5.297943338024695E-5	0.46615057680631455	0.31542197935640554	272.3594957889012
1000	2.6936577486600715E-5	0.49620522161505776	0.38175470552519736	219.65896003592434
2000	1.371043051306928E-5	0.5546448087431695	0.4629629629629629	248.1617024005349
10681	2.4809000347151734E-6	0.625075895567699	0.5496357012750456	243.63570128295797

