====================
Dataset: ml1m
====================

P@10
Recommender	Full	Test
iMF (full)	0.3550066225165563	0.6601622516556291
iMF (test)	0.17754966887417217	0.6845761589403974
kNN (full/test)	0.31046357615894044	0.6594602649006622
Normalized kNN (full)	0.20655960264900664	0.6423642384105961
Normalized kNN (test)	0.0858476821192053	0.6711655629139073
Average Rating	0.04348675496688742	0.665384105960265
Popularity	0.19420860927152317	0.6242516556291391
Random	0.010112582781456953	0.5491920529801325
