====================
Dataset: ml10m
====================

P@10
Recommender	Full	Test
iMF (full)	0.07879781420765027	0.3727868852459017
iMF (test)	0.021748633879781425	0.38612021857923495
kNN (full)	0.09300546448087432	0.3922404371584699
kNN (test)	0.08896174863387979	0.3909289617486339
Normalized kNN (full)	0.061748633879781425	0.3842622950819672
Normalized kNN (test)	0.0015300546448087434	0.39562841530054643
Average Rating	0.0061202185792349735	0.3884153005464481
Popularity	0.05792349726775956	0.37409836065573765
Random	2.185792349726776E-4	0.35540983606557375

Recall@10
Recommender	Full	Test
iMF (full)	0.19941475213653242	0.7393219760476655
iMF (test)	0.05598877959814147	0.7497841424434406
kNN (full)	0.18418180626858668	0.7547548081941402
kNN (test)	0.17557052541120374	0.7538293871628818
Normalized kNN (full)	0.15837407518771762	0.7471873675299624
Normalized kNN (test)	9.439868336669274E-4	0.759255303760058
Average Rating	0.006019910185470041	0.7567989493643212
Popularity	0.11090880421526035	0.742880286472257
Random	1.5399900645802285E-4	0.7261922870312264

nDCG@10
Recommender	Full	Test
iMF (full)	0.16879354327860074	0.7282502256946193
iMF (test)	0.038567441387977866	0.7493759905224657
kNN (full)	0.16838753011307894	0.7614238078025543
kNN (test)	0.1584642928728846	0.7597999665900117
Normalized kNN (full)	0.11503984768564154	0.748816173114292
Normalized kNN (test)	0.00154911721143711	0.7673108854277502
Average Rating	0.009151056602921478	0.7571025878192121
Popularity	0.09878174299665327	0.7337075374027083
Random	1.9267771213489523E-4	0.6848240932869931

FScore@10
Recommender	Full	Test
iMF (full)	0.09410673220611819	0.41293104909207023
iMF (test)	0.025356986243110613	0.423777229308756
kNN (full)	0.09767206804563308	0.4284483412276561
kNN (test)	0.09340472326463108	0.4274515740290877
Normalized kNN (full)	0.07381005283436898	0.4214753722471441
Normalized kNN (test)	9.816907847178436E-4	0.43148776818551315
Average Rating	0.004787818578197665	0.4272598988718158
Popularity	0.060370427710795926	0.4152413973336122
Random	1.7694509497788186E-4	0.39956228892868245

