====================
Dataset: ml1m
====================

nDCG@10
Target size	Average Rating	Normalized kNN (full)	Normalized kNN (test)	Popularity	Random	iMF (full)	iMF (test)	kNN (full/test)
0	0.8473657566897224	0.8147267641694793	0.8561243652584063	0.7943861491231177	0.6911519469912799	0.8396151578705195	0.869590594696722	0.8399689457338685	
1	0.8303260414020827	0.8018328341898651	0.8440716659800819	0.788257138769907	0.6588867559742545	0.8367418097541934	0.8655086666915646	0.8371056634469835	
2	0.8143731832054758	0.7901523385676783	0.8328462738963467	0.7823484309893469	0.6297761211282932	0.8340484511231339	0.8615782155119348	0.8346221925636337	
5	0.771614998654886	0.7596028858253631	0.8024001709921397	0.7660917720009862	0.5510308485417397	0.8260424555673174	0.8496348389020019	0.826992768020521	
10	0.7103781573989003	0.7210170487453458	0.7575466344021414	0.7413691350320477	0.45263221559032657	0.8160920617944708	0.8321912339039519	0.815501378082152	
20	0.6208240199472952	0.6824295604096996	0.6868161531053695	0.7028926187105237	0.343312203966339	0.8022187233348947	0.8025771669766938	0.7981264042177977	
50	0.47556716185659376	0.637173355647499	0.5619743429171686	0.6292121914107945	0.21185530263153501	0.7733661603703269	0.7326251760253385	0.7600794747238451	
100	0.36029401701454705	0.5980011275578174	0.457511824508288	0.5601838620596442	0.13712269420622192	0.7390448156279221	0.6544355069559474	0.7165650886644614	
200	0.24992683103000748	0.5462768344928228	0.3539353978063033	0.4841042602337259	0.08200685801392986	0.6929632030333321	0.5577571472559207	0.6600614032476441	
500	0.13458731554617515	0.44691554977063763	0.22645510816248532	0.3778026406125168	0.03750712567252822	0.6081117398375426	0.4079106337513679	0.5631965210045922	
1000	0.0823000216717378	0.3505291298061979	0.1472884714399194	0.2996115246529103	0.020264346353754868	0.5276828448430919	0.299043800349306	0.4776029680158139	
2000	0.0384734894456331	0.24920401461018757	0.08480101971504207	0.2269250324565722	0.010941803052461493	0.43946789215518944	0.20708616330103716	0.3895654041866346	
3706	0.014400552556417187	0.17005373627927173	0.04475582710932429	0.17091949605027748	0.00592195323717047	0.35938087384960327	0.14336534915856397	0.3171813307061623	

P@10
Target size	Average Rating	Normalized kNN (full)	Normalized kNN (test)	Popularity	Random	iMF (full)	iMF (test)	kNN (full/test)
0	0.665407284768212	0.642069536423841	0.6711324503311259	0.6241721854304634	0.5490794701986755	0.6592880794701987	0.6843675496688741	0.659066225165563	
1	0.6565629139072848	0.6349867549668875	0.6648543046357617	0.6207119205298013	0.5315960264900662	0.6577317880794702	0.6819006622516557	0.657182119205298	
2	0.6476490066225166	0.6269900662251656	0.6581192052980132	0.617046357615894	0.5154536423841061	0.6555596026490067	0.6799139072847682	0.6555033112582782	
5	0.6214370860927152	0.6047649006622516	0.6395496688741723	0.6062384105960266	0.46189403973509935	0.6506192052980133	0.672069536423841	0.650387417218543	
10	0.5798774834437086	0.5749105960264901	0.6092516556291392	0.5896258278145695	0.38936092715231785	0.6437086092715232	0.6607582781456953	0.6422549668874172	
20	0.5161523178807947	0.5455794701986754	0.5586655629139073	0.5622350993377483	0.30388079470198676	0.6338013245033112	0.6406357615894039	0.6295662251655629	
50	0.40525827814569537	0.5093178807947021	0.4650761589403974	0.5078907284768213	0.19373178807947017	0.6134635761589404	0.591930463576159	0.6009437086092715	
100	0.31481125827814566	0.4790529801324503	0.38359933774834437	0.4561291390728477	0.12668874172185432	0.5875463576158941	0.5357052980132451	0.5681225165562915	
200	0.22072516556291388	0.43916556291390735	0.30210264900662254	0.3972516556291391	0.07682781456953643	0.5533211920529801	0.4618675496688742	0.5239668874172185	
500	0.12275496688741723	0.36279801324503314	0.2007185430463576	0.3149271523178808	0.035294701986754974	0.48805960264900666	0.3434933774834437	0.44777483443708616	
1000	0.08369867549668875	0.28800993377483447	0.13840066225165565	0.25319867549668873	0.019387417218543045	0.42473509933774833	0.25431456953642384	0.37934437086092715	
2000	0.04320860927152318	0.20793046357615896	0.08679801324503313	0.193635761589404	0.010278145695364237	0.3548278145695364	0.17808278145695366	0.3089205298013245	
3706	0.017480132450331125	0.1453973509933775	0.04968211920529802	0.14617880794701987	0.005506622516556292	0.291341059602649	0.12421523178807947	0.25127483443708615	

Recall@10
Target size	Average Rating	Normalized kNN (full)	Normalized kNN (test)	Popularity	Random	iMF (full)	iMF (test)	kNN (full/test)
0	0.6274958385237912	0.6058188709313478	0.6302412179660709	0.6037872518827999	0.566205782094287	0.6193362718262401	0.6355695691015977	0.6200778007969899	
1	0.6198362879521199	0.5975786311954375	0.6245570330258945	0.600139899256398	0.5500973872824744	0.6177717403129361	0.6333590060800041	0.6180133187622296	
2	0.611635300844417	0.5874793539322513	0.6182989989450561	0.5960858816139643	0.5340288478283876	0.6147837463732302	0.6312794620223551	0.6159884376556992	
5	0.5853508818665286	0.5547066351822257	0.5996607316788262	0.5831504672791986	0.4727630682229145	0.6072738607444278	0.6230538794285396	0.6093186492765101	
10	0.5366596514216174	0.4986572502574688	0.5652456254181493	0.5602604001845981	0.36774600767846993	0.5935130090424436	0.6098019600984703	0.5972424720235566	
20	0.4567039784546309	0.4437028595271305	0.5011259454852289	0.5204230608167109	0.2535172664255475	0.5786279479157017	0.5856664179608033	0.5796973983137713	
50	0.3302830122768568	0.393717942172453	0.38573626623515456	0.444331014668477	0.13767965655668105	0.550676025968789	0.5287116969779551	0.540940976801387	
100	0.23997692663623743	0.3662706672684343	0.2984119666556987	0.37783298308456803	0.0813997161875527	0.5178159596377466	0.46437976194848263	0.5004010716476905	
200	0.16118365246176916	0.34005304319510904	0.22250028056717244	0.3113351874980098	0.04503630850001532	0.47577239186733494	0.38573619943710924	0.44958597436356723	
500	0.08253679039980873	0.29314084442804933	0.13859467930222813	0.22918781935706622	0.019486498451759735	0.40462634913584355	0.2723837570955533	0.36877883770220443	
1000	0.05493664515046155	0.24426370674276213	0.08997841750765097	0.17295983567419054	0.009845973130999296	0.3404432646112545	0.1935915074201427	0.30131669129473226	
2000	0.02735914925644838	0.1842889130284988	0.05183460287984294	0.1236705302782988	0.005210823380466807	0.2736727394259118	0.12968453581044098	0.23697151616260256	
3706	0.010266708692810742	0.13053918256734715	0.026948475078759145	0.08650286072529496	0.002705451431282236	0.21744528387470075	0.08745494594903744	0.1863492958695724	

====================
Dataset: yahoo
====================

nDCG@10
Target size	Average Rating	Normalized kNN (full)	Normalized kNN (test)	Popularity	Random	iMF (full)	iMF (test)	kNN (full/test)
0	0.5718188837842264	0.5568969023455379	0.5775984578889807	0.5502588074241486	0.5317859231229696	0.5769289116235214	0.5825878526820337	0.5736696894678562	
1	0.5348472511979027	0.5309516017326461	0.5565955965047366	0.5363786451385013	0.4841738728617536	0.5697822356841009	0.5759516689777998	0.5658495084353727	
2	0.5034881627163201	0.5111395531410865	0.5375263006655275	0.5251934182592664	0.4504990618312297	0.5633700338173552	0.5691520158217529	0.5586742658100602	
5	0.43540213011952955	0.46800091268822747	0.4921108302243263	0.49762754278815874	0.3742213868257568	0.5471554861589205	0.5531412405602467	0.5409987722188577	
10	0.34871089948603895	0.4041351016168422	0.4303459997874276	0.4561211544257646	0.2698624455038207	0.5217916265127556	0.5295531196223775	0.5142591751680303	
20	0.23712073876691925	0.3368073152585335	0.34210726231263744	0.4017233673131034	0.16275649912577422	0.4876303258780677	0.4949751554382346	0.47699128473506613	
50	0.10385313648993774	0.27880087447461765	0.19944552261045329	0.324537337391671	0.07326952100371625	0.42554960439709016	0.4290597761409175	0.41450192200712505	
100	0.04365195077891183	0.2433367854485903	0.10312067296504628	0.26274027739783123	0.03844043736215679	0.36573205250204105	0.3644551440333622	0.3571593323049554	
200	0.016325307426775747	0.20969235501135808	0.040443819538024305	0.2056928047923657	0.020311390038357226	0.3058858381365571	0.29943560771258176	0.29712851011081515	
500	0.005603590592849738	0.15824654932012333	0.009876330959453916	0.13537421561144086	0.007904678046293388	0.22195643009613644	0.21054535299025648	0.21560911206550543	
1000	0.0016176036196663926	0.10999568192132156	0.0037170860715684518	0.09376474224907003	0.0038444645758773065	0.16539954160559628	0.15164035615616298	0.1607541124290551	

P@10
Target size	Average Rating	Normalized kNN (full)	Normalized kNN (test)	Popularity	Random	iMF (full)	iMF (test)	kNN (full/test)
0	0.1694925925925926	0.1681	0.1698222222222222	0.16805185185185184	0.16684074074074076	0.17035925925925924	0.17081851851851854	0.16984814814814814	
1	0.1681037037037037	0.1664851851851852	0.1687888888888889	0.16690370370370372	0.16467407407407408	0.16979629629629628	0.17024814814814815	0.16923333333333332	
2	0.16651481481481484	0.1644037037037037	0.16783333333333333	0.16557777777777777	0.16218148148148148	0.16914074074074076	0.16952222222222219	0.1684851851851852	
5	0.15946296296296297	0.15524074074074073	0.16353333333333336	0.16081851851851853	0.14957037037037038	0.16669259259259261	0.16748518518518518	0.1655222222222222	
10	0.13952222222222221	0.1302666666666667	0.15354444444444446	0.14832222222222222	0.11236296296296297	0.16055925925925926	0.16212222222222222	0.15816296296296298	
20	0.10313333333333334	0.10204074074074077	0.1327222222222222	0.13074444444444444	0.06958148148148148	0.15103703703703703	0.15304444444444446	0.14703703703703702	
50	0.049829629629629626	0.08012962962962963	0.08623333333333334	0.10625185185185186	0.03268888888888889	0.1337925925925926	0.13513703703703703	0.12946666666666667	
100	0.02212222222222222	0.0706925925925926	0.047511111111111115	0.08724444444444446	0.01740740740740741	0.11651481481481482	0.11725925925925926	0.1132962962962963	
200	0.008251851851851852	0.06512962962962962	0.019274074074074075	0.07087037037037038	0.009370370370370371	0.09855555555555555	0.09793703703703704	0.09582592592592594	
500	0.003033333333333333	0.056177777777777785	0.004651851851851853	0.04880740740740741	0.0036666666666666666	0.0735962962962963	0.07132962962962963	0.07127777777777779	
