====================
Dataset: ml1m
====================

P@10
Recommender	Full	Test
iMF (full)	0.35866225165562915	0.6596721854304636
iMF (test)	0.19062913907284768	0.6848973509933773
kNN (full)	0.3197682119205298	0.6584933774834438
kNN (test)	0.31706622516556293	0.6592781456953641
Normalized kNN (full)	0.21583443708609268	0.6421953642384105
Normalized kNN (test)	0.08726158940397352	0.6733576158940398
Average Rating	0.05767549668874172	0.6652350993377484
Popularity	0.19458940397350993	0.6238046357615893
Random	0.010735099337748346	0.5491490066225164

Recall@10
Recommender	Full	Test
iMF (full)	0.27718714970258446	0.6190174727691063
iMF (test)	0.13863645380384174	0.6352150967020613
kNN (full)	0.2461568226577997	0.6187470184348509
kNN (test)	0.2429934455961972	0.6197226644473016
Normalized kNN (full)	0.18695527884041072	0.6051632370056421
Normalized kNN (test)	0.04787584479402697	0.63015879116783
Average Rating	0.0369585520944863	0.6262051375580586
Popularity	0.11987065984467618	0.6026333151536389
Random	0.005405869562737735	0.5659297111364276

nDCG@10
Recommender	Full	Test
iMF (full)	0.44540721860380195	0.8396080857715482
iMF (test)	0.22316180973619343	0.8698337208769275
kNN (full)	0.4057969409939622	0.8392187775067956
kNN (test)	0.40281597174618106	0.8402767931247871
Normalized kNN (full)	0.26029499076757806	0.8143852810998211
Normalized kNN (test)	0.08360793841927491	0.8580429716593974
Average Rating	0.053970566846503164	0.8470344114606438
Popularity	0.2260378706773932	0.7938288411793055
Random	0.01143119861283674	0.6932790843602187

FScore@10
Recommender	Full	Test
iMF (full)	0.2543621457487137	0.5283589247444415
iMF (test)	0.1300025676237523	0.5461917301330612
kNN (full)	0.22542524696080374	0.5278246314388844
kNN (test)	0.2230115085374277	0.5286749703175531
Normalized kNN (full)	0.16194846655847933	0.5141976316268514
Normalized kNN (test)	0.051855389750955425	0.539767318371771
Average Rating	0.036615218772818314	0.5347932930361384
Popularity	0.12062192703854646	0.5075684641047941
Random	0.005832519214086135	0.4636805195816974

