====================
Dataset: ml1m-popular
====================

P@10
Recommender	Full	Test
iMF (full)	0.3596622516556291	0.6593145695364239
iMF (test)	0.18634437086092714	0.6842682119205297
kNN (full)	0.3195794701986755	0.6577847682119206
kNN (test)	0.3171887417218543	0.6592814569536424
Normalized kNN (full)	0.21457284768211923	0.6421026490066225
Normalized kNN (test)	0.08903973509933776	0.6731423841059604
Average Rating	0.06168874172185431	0.6652350993377484
Popularity	0.19432781456953643	0.6238079470198675
Random	0.01053973509933775	0.5494900662251656

Recall@10
Recommender	Full	Test
iMF (full)	0.2783817400290873	0.6187397148854852
iMF (test)	0.13717883489715021	0.6347977795031657
kNN (full)	0.24769271958141834	0.617950582773121
kNN (test)	0.2441940068250493	0.6197432678321434
Normalized kNN (full)	0.18737491720444147	0.6048949923434889
Normalized kNN (test)	0.04985179401002364	0.630301435554875
Average Rating	0.039830384574155574	0.6262051375580585
Popularity	0.12069935776524399	0.6026498714450298
Random	0.005336246831950073	0.5657191274523314

nDCG@10
Recommender	Full	Test
iMF (full)	0.4470099337138887	0.8395696869224711
iMF (test)	0.2182784238239957	0.8688780227372147
kNN (full)	0.4044354048692306	0.8377730752762733
kNN (test)	0.40119729953865557	0.8402769188837222
Normalized kNN (full)	0.25900194311816627	0.8141165182043139
Normalized kNN (test)	0.08531856450519994	0.8578176473591587
Average Rating	0.05769666766445271	0.8470344114606441
Popularity	0.22078533942232953	0.7938347100298613
Random	0.01112713593953467	0.6928255404938432

FScore@10
Recommender	Full	Test
iMF (full)	0.25528161242151765	0.5280997934183043
iMF (test)	0.1277514415188051	0.5457106810529506
kNN (full)	0.225852543010791	0.5270549647100377
kNN (test)	0.22354220691597929	0.5286814328918095
Normalized kNN (full)	0.16171534594707063	0.5140486997854983
Normalized kNN (test)	0.05354624315082997	0.5397903268217104
Average Rating	0.03929105437856021	0.5347932930361384
Popularity	0.12082400138393763	0.5075739828685909
Random	0.005700230942654924	0.4636460478863677

