====================
Dataset: ml100k/young
====================

P@10
Recommender	Full	Test
iMF (full)	0.1685185185185185	0.5007407407407407
iMF (test)	0.11000000000000001	0.5025925925925925
kNN (full/test)	0.15666666666666668	0.5144444444444445
Normalized kNN (full)	0.10259259259259261	0.49740740740740746
Normalized kNN (test)	0.034074074074074076	0.5018518518518518
Average Rating	0.04666666666666667	0.5033333333333333
Popularity	0.11592592592592592	0.4974074074074074
Random	0.011481481481481483	0.4525925925925926

Recall@10
Recommender	Full	Test
iMF (full)	0.19155302380727213	0.7382743197051674
iMF (test)	0.14407954948901852	0.7407053261918768
kNN (full/test)	0.1954123746713531	0.7496652221190205
Normalized kNN (full)	0.1444017699941344	0.7332347716719805
Normalized kNN (test)	0.029766235882971236	0.7405190251393678
Average Rating	0.04395254978874702	0.7415570715435695
Popularity	0.13678197900787467	0.7396318890747322
Random	0.013449989564030245	0.7062319826538536

nDCG@10
Recommender	Full	Test
iMF (full)	0.23939230925726357	0.7487757514555924
iMF (test)	0.14350665692643455	0.7572127604399439
kNN (full/test)	0.24011604553210592	0.7774523049853483
Normalized kNN (full)	0.1442804784138701	0.760119047261668
Normalized kNN (test)	0.03832925166117185	0.7727793944223771
Average Rating	0.07520719495409628	0.7667903298206397
Popularity	0.17313192767747135	0.7521507297340382
Random	0.013642022601280196	0.6921140044063594

FScore@10
Recommender	Full	Test
iMF (full)	0.14728066303420778	0.5051455117928901
iMF (test)	0.10255057789450647	0.507928122625243
kNN (full/test)	0.1434897492562744	0.5168395164404587
Normalized kNN (full)	0.09771957656569574	0.501287364539919
Normalized kNN (test)	0.025009844088577295	0.5069891475463643
Average Rating	0.03647480264281629	0.5090494275308783
Popularity	0.10321468519791702	0.5056523067947246
Random	0.008618452460877139	0.4708707321864244

