====================
Dataset: ml100k
====================

P@10
Target size	iMF (full)	iMF (test)	kNN (full/test)	Normalized kNN (full)	Normalized kNN (test)	Average Rating	Popularity	Random
0	0.5519194061505833	0.5767550371155886	0.564984093319194	0.5556521739130436	0.5718557794273595	0.5686532343584305	0.532576882290562	0.4804665959703075
1	0.5490137857900317	0.5714952279957582	0.5630116648992576	0.5500742311770944	0.565238600212089	0.561102863202545	0.5291622481442205	0.4623753976670201
2	0.5479533404029693	0.5674867444326617	0.5609544008483562	0.5444538706256628	0.5584517497348885	0.5532555673382821	0.5260445387062566	0.45196182396606577
5	0.5422693531283138	0.5599787910922587	0.5555037115588547	0.5246871686108165	0.5372428419936374	0.5285683987274655	0.5152279957582185	0.4034358430540827
10	0.5291198303287381	0.545408271474019	0.5470413573700955	0.5003181336161188	0.5033297985153764	0.487168610816543	0.4988547189819725	0.3285047720042418
20	0.5165641569459172	0.5212089077412514	0.5320042417815483	0.47406150583244966	0.4419512195121952	0.4197879109225875	0.4692682926829269	0.2480593849416755
50	0.48691410392364787	0.46216330858960764	0.49883351007423116	0.4359915164369035	0.33198303287380704	0.2971367974549311	0.41251325556733826	0.1483987274655355
100	0.44931071049840926	0.39658536585365856	0.4620784729586426	0.3986214209968187	0.2525556733828208	0.2152916224814422	0.3585153764581124	0.09323435843054081
200	0.4034782608695652	0.31314952279957586	0.41255567338282084	0.34941675503711556	0.18786850477200423	0.1527253446447508	0.2993213149522799	0.05459172852598091
500	0.32922587486744437	0.20101802757158005	0.33351007423117707	0.264644750795334	0.1119406150583245	0.07749734888653234	0.2184305408271474	0.02335100742311771
1000	0.2702651113467657	0.127507953340403	0.2730646871686108	0.19344644750795334	0.05817603393425239	0.04036055143160127	0.16545068928950157	0.012364793213149523
1682	0.22557794273594908	0.08895015906680806	0.2304559915164369	0.14413573700954402	0.028759278897136798	0.022672322375397666	0.13151643690349948	0.007910922587486746

Recall@10
Target size	iMF (full)	iMF (test)	kNN (full/test)	Normalized kNN (full)	Normalized kNN (test)	Average Rating	Popularity	Random
0	0.6982095923676489	0.7163706442267261	0.7064260439428012	0.6964397240208713	0.7136369252989128	0.7108121053067542	0.6868064640630893	0.6526878905297374
1	0.6941756272090297	0.7117355400818558	0.7040308738313789	0.6889340301908865	0.7072521617514143	0.703417888287232	0.682709162651759	0.6348531892322891
2	0.6918370898500367	0.707819154017059	0.701887565926546	0.6813749850869313	0.6999914146716735	0.6949275001993677	0.6790590120649824	0.6205828001399261
5	0.682585559899441	0.6990154054184592	0.694775260649101	0.6499840872424815	0.6763536990028122	0.6677448602529614	0.6647603785403333	0.5566765720019429
10	0.6634475617577642	0.6827634058540305	0.6836347956035093	0.596059189598062	0.6296166861057364	0.6070189267546546	0.6390494236633812	0.4197618587490951
20	0.6434764276066143	0.6519366333014489	0.6612985410802551	0.5459052845236994	0.5242953899164331	0.4918123356111896	0.5883275785149881	0.2855985563821292
50	0.6022963192180794	0.575763650968267	0.6143305131488322	0.48776166213626837	0.3454541817591529	0.3067967051502195	0.49259733493236935	0.15163756050642724
100	0.550141899962698	0.4919934086071289	0.5611785682248398	0.4513578794622064	0.24073721504064283	0.20343256243279165	0.404687352728888	0.08636364245470303
200	0.49053326935830643	0.3868524887042125	0.49364591091419124	0.40597966121458573	0.1705818004675486	0.13840025232114606	0.3247321926473789	0.04807047610354139
500	0.39522975916453806	0.24097143320423947	0.3859345427344249	0.3219559257350558	0.09815876446336655	0.06296819940944447	0.22853777729015617	0.019804078343915194
1000	0.32101680698455815	0.15288710344774176	0.3089376940610975	0.24187509597797038	0.049747861581316236	0.029616761795258312	0.17022720072880365	0.008972433328955342
1682	0.2641826849498003	0.10426224562088908	0.2533068161998983	0.1801224052277703	0.02217783805920266	0.01590737024614394	0.1363579514517292	0.00670561166068952

nDCG@10
Target size	iMF (full)	iMF (test)	kNN (full/test)	Normalized kNN (full)	Normalized kNN (test)	Average Rating	Popularity	Random
0	0.7886485383625158	0.8172398637716825	0.8059153819998508	0.7911931850790925	0.8191255672804749	0.8154585671298932	0.7521807609782771	0.6786815008547181
1	0.7848709438664028	0.811072900454497	0.8028735224503573	0.7799999058337843	0.8005441220011715	0.7930742129440296	0.7452840017718366	0.6408381573274978
2	0.781922820727004	0.8023033621410844	0.7998954032182548	0.769758856461682	0.7814871766589947	0.771274733729588	0.7382710640617874	0.6118826377742608
5	0.772160524933437	0.7897981803122325	0.7914644258554876	0.74165393715674	0.7337897084828633	0.715913380005833	0.7194685880787896	0.5327169114394773
10	0.7548635454930462	0.7650809913379222	0.7781583822463828	0.7047366464484879	0.6687091100323038	0.6394155537901458	0.6912316939477936	0.41639760134673454
20	0.7361920983120515	0.7246068743045091	0.7556716100424434	0.6682109287873848	0.5692020533372218	0.5309663204086958	0.6450942169720567	0.3035835103137908
50	0.6909346984735689	0.6329110839153907	0.7065961644463636	0.6090594535197674	0.4107672657504233	0.36170979373351336	0.5591900268690599	0.1759348238528961
