====================
Dataset: yahoo-nofill
====================

Coverage@10
Target size	iMF (full)	iMF (test)	kNN (full/test)	Normalized kNN (full)	Normalized kNN (test)	Average Rating	Popularity	Random
0	0.4307740740740741	0.4307740740740741	0.41405925925925924	0.13532592592592593	0.41467037037037036	0.4307740740740741	0.4307740740740741	0.4307740740740741
1	0.5205296296296297	0.5205296296296297	0.4738074074074074	0.13705185185185184	0.4717518518518518	0.5205296296296297	0.5205296296296297	0.5205296296296297
2	0.6073074074074074	0.6073074074074074	0.5326407407407407	0.13863333333333333	0.5269296296296296	0.6073074074074074	0.6073074074074074	0.6073074074074074
5	0.8401592592592593	0.8401592592592593	0.6976814814814815	0.14344444444444443	0.6845555555555556	0.8401592592592593	0.8401592592592593	0.8401592592592593
10	0.9995037037037038	0.9995037037037038	0.9039333333333334	0.15134074074074075	0.8863185185185184	0.9995037037037038	0.9995037037037038	0.9995037037037038
20	1.0	1.0	0.9982962962962961	0.16693703703703705	0.9960962962962963	1.0	1.0	1.0
50	1.0	1.0	1.0	0.21585185185185188	1.0	1.0	1.0	1.0
100	1.0	1.0	1.0	0.29564444444444443	1.0	1.0	1.0	1.0
200	1.0	1.0	1.0	0.44928518518518523	1.0	1.0	1.0	1.0
500	1.0	1.0	1.0	0.7940481481481481	1.0	1.0	1.0	1.0
1000	1.0	1.0	1.0	0.9810037037037038	1.0	1.0	1.0	1.0

