====================
Dataset: yahoo-unpopular
====================

P@10
Target size	Correlation with unbiased evaluation	Expected intersection ratio in top n	Ratio of ties	Ratio of ties at zero	Sum of p-values
0	0.38888888888888884	0.9789922037307075	0.9747788065843623	0.3247993827160493	598.6627700721772
1	0.4444444444444444	0.9742113216066588	0.9661831275720166	0.32494855967078196	465.6482935772206
2	0.4444444444444444	0.9676151312899899	0.9572890946502061	0.3249794238683127	381.8915370905633
5	0.4444444444444444	0.929878827957617	0.9127469135802468	0.32548353909465016	236.24925550389597
10	0.4444444444444444	0.7259439451758471	0.7884927983539096	0.32830246913580247	152.84418100181938
20	0.611111111111111	0.4211100995490442	0.6631893004115226	0.34477880658436216	73.51379497442593
50	0.6666666666666666	0.1882077856944375	0.6147685185185184	0.3858333333333333	68.98942348014008
100	0.7222222222222222	0.0979872562719207	0.6190483539094651	0.44051440329218106	74.47259150930506
200	0.8333333333333333	0.05004945454960173	0.6383384773662553	0.49319444444444444	79.25670625683863
500	0.8888888888888888	0.02031880507784935	0.6876286008230452	0.5784825102880657	69.62145316871127
1000	1.0	0.01019951709876905	0.7261008230452677	0.6407561728395063	69.99794911319603

Recall@10
Target size	Correlation with unbiased evaluation	Expected intersection ratio in top n	Ratio of ties	Ratio of ties at zero	Sum of p-values
0	0.4444444444444444	0.9789922037307075	0.9747788065843623	0.3247993827160493	626.0553857380046
1	0.38888888888888884	0.9742113216066588	0.9661831275720166	0.32494855967078196	570.02493708889
2	0.4444444444444444	0.9676151312899899	0.9572890946502061	0.3249794238683127	431.2254510364914
5	0.4444444444444444	0.929878827957617	0.9127469135802468	0.32548353909465016	257.9853587395046
10	0.38888888888888884	0.7259439451758471	0.7884927983539096	0.32830246913580247	145.9218707740678
20	0.5555555555555556	0.4211100995490442	0.6631893004115226	0.34477880658436216	112.38342775658907
50	0.6666666666666666	0.1882077856944375	0.6147685185185184	0.3858333333333333	77.72167886722285
100	0.7222222222222222	0.0979872562719207	0.6190483539094651	0.44051440329218106	78.49556753963103
200	0.7777777777777777	0.05004945454960173	0.6383384773662553	0.49319444444444444	82.4705546025352
500	0.8888888888888888	0.02031880507784935	0.6876286008230452	0.5784825102880657	88.83808717060487
1000	1.0	0.01019951709876905	0.7261008230452677	0.6407561728395063	94.53051738196616

nDCG@10
Target size	Correlation with unbiased evaluation	Expected intersection ratio in top n	Ratio of ties	Ratio of ties at zero	Sum of p-values
0	0.16666666666666666	0.9789922037307075	0.6438991769547324	0.3247993827160493	364.36388728018875
1	0.4444444444444444	0.9742113216066588	0.5197170781893005	0.32494855967078196	193.8062861124518
2	0.38888888888888884	0.9676151312899899	0.48924382716049375	0.3249794238683127	189.46667951511728
5	0.38888888888888884	0.929878827957617	0.44142489711934146	0.32548353909465016	146.40895936067017
10	0.5555555555555556	0.7259439451758471	0.4262602880658436	0.32830246913580247	82.72788247965724
20	0.611111111111111	0.4211100995490442	0.41060185185185183	0.34477880658436216	81.99141515399116
50	0.6666666666666666	0.1882077856944375	0.4298251028806585	0.3858333333333333	94.40115712216566
100	0.7777777777777777	0.0979872562719207	0.4738271604938272	0.44051440329218106	76.66759252549389
200	0.8333333333333333	0.05004945454960173	0.5196244855967076	0.49319444444444444	75.73185669313257
500	0.8888888888888888	0.02031880507784935	0.5972582304526749	0.5784825102880657	72.74017667186905
1000	1.0	0.01019951709876905	0.6544393004115227	0.6407561728395063	85.52404078372105

FScore@10
Target size	Correlation with unbiased evaluation	Expected intersection ratio in top n	Ratio of ties	Ratio of ties at zero	Sum of p-values
0	0.4444444444444444	0.9789922037307075	0.9747788065843623	0.3247993827160493	575.460773190624
1	0.4444444444444444	0.9742113216066588	0.9661831275720166	0.32494855967078196	457.6199009387655
2	0.4444444444444444	0.9676151312899899	0.9572890946502061	0.3249794238683127	369.9383471806218
5	0.4444444444444444	0.929878827957617	0.9127469135802468	0.32548353909465016	240.5673960840174
10	0.4444444444444444	0.7259439451758471	0.7884927983539096	0.32830246913580247	132.69674051890757
20	0.5555555555555556	0.4211100995490442	0.6631893004115226	0.34477880658436216	79.89059896681427
50	0.6666666666666666	0.1882077856944375	0.6147685185185184	0.3858333333333333	64.2291295082541
100	0.7222222222222222	0.0979872562719207	0.6190483539094651	0.44051440329218106	68.49396637548493
200	0.8333333333333333	0.05004945454960173	0.6383384773662553	0.49319444444444444	78.86260128709483
500	0.8888888888888888	0.02031880507784935	0.6876286008230452	0.5784825102880657	74.71404901943906
1000	1.0	0.01019951709876905	0.7261008230452677	0.6407561728395063	72.46815494696605

