====================
Dataset: ml1m/old
====================

P@10
Recommender	Full	Test
iMF (full)	0.16557894736842108	0.6164736842105263
iMF (test)	0.025421052631578945	0.6187368421052633
kNN (full)	0.1570526315789474	0.6203684210526316
kNN (test)	0.12763157894736843	0.6227368421052631
Normalized kNN (full)	0.0898421052631579	0.6050526315789474
Normalized kNN (test)	0.005947368421052632	0.625421052631579
Average Rating	0.007421052631578948	0.6209473684210527
Popularity	0.08710526315789473	0.6102631578947368
Random	0.004894736842105263	0.5597368421052631

Recall@10
Recommender	Full	Test
iMF (full)	0.15586218069884317	0.7227791582360258
iMF (test)	0.026428324216565345	0.7295260750450347
kNN (full)	0.1541350876729739	0.72661076200713
kNN (test)	0.11281387841435478	0.7293737150414428
Normalized kNN (full)	0.10679329874369559	0.714317104524391
Normalized kNN (test)	0.004685999050886866	0.7319467294253246
Average Rating	0.004644650694840974	0.7298813870705906
Popularity	0.07464236062652041	0.7214244575906317
Random	0.004586766991153613	0.6870377017636964

nDCG@10
Recommender	Full	Test
iMF (full)	0.21715708448167703	0.8531929933143255
iMF (test)	0.028592632654805793	0.851970274130661
kNN (full)	0.21351496043225832	0.8589438952926078
kNN (test)	0.16714318346344303	0.8618463021589685
Normalized kNN (full)	0.10946329099725141	0.8349651446997461
Normalized kNN (test)	0.005695299186408572	0.8660645341126836
Average Rating	0.009890054487846144	0.8580441461713877
Popularity	0.1062023326082765	0.8411521833520069
Random	0.005386983207279913	0.7572301949821488

FScore@10
Recommender	Full	Test
iMF (full)	0.13332334068626767	0.5668191264418434
iMF (test)	0.021594094997384895	0.5717622233591847
kNN (full)	0.12762917586495487	0.5698861874372098
kNN (test)	0.09818285575624204	0.5723971051270542
Normalized kNN (full)	0.08005220462094613	0.5573482619288855
Normalized kNN (test)	0.003995380890305282	0.5751523156889269
Average Rating	0.004852079388950402	0.5726024212246796
Popularity	0.0653192222199894	0.5633270357625084
Random	0.003769627246076356	0.5272413186934743

