====================
Dataset: ml100k/young
====================

P@10
Recommender	Full	Test
iMF (full)	0.17407407407407408	0.5018518518518519
iMF (test)	0.09925925925925926	0.5018518518518519
kNN (full/test)	0.15666666666666668	0.5144444444444445
Normalized kNN (full)	0.10259259259259261	0.495925925925926
Normalized kNN (test)	0.034074074074074076	0.5025925925925925
Average Rating	0.04666666666666667	0.5033333333333333
Popularity	0.11592592592592592	0.4974074074074074
Random	0.013703703703703708	0.44370370370370366

Recall@10
Recommender	Full	Test
iMF (full)	0.2028894521161663	0.7404890843102828
iMF (test)	0.14012593549620572	0.7397497560484504
kNN (full/test)	0.1954123746713531	0.7496652221190205
Normalized kNN (full)	0.1444017699941344	0.731417591938134
Normalized kNN (test)	0.029766235882971236	0.7418917470676453
Average Rating	0.043952549788747006	0.7415570715435695
Popularity	0.13678197900787473	0.7396318890747322
Random	0.007956390436179975	0.6957906562411605

nDCG@10
Recommender	Full	Test
iMF (full)	0.24452703696382933	0.7513215088319292
iMF (test)	0.13708586184901286	0.7561222286665189
kNN (full/test)	0.24011604553210592	0.7774001516403461
Normalized kNN (full)	0.1442804784138701	0.7591327877092979
Normalized kNN (test)	0.03832925166117185	0.7720711609728499
Average Rating	0.07520719495409628	0.7667629426645675
Popularity	0.17313192767747132	0.7521457611133251
Random	0.012396721937809219	0.6670077222474269

FScore@10
Recommender	Full	Test
iMF (full)	0.1532974773321034	0.5066522918962705
iMF (test)	0.0949468117532808	0.5065558045450017
kNN (full/test)	0.1434897492562744	0.5168395164404587
Normalized kNN (full)	0.09771957656569573	0.49950607067038977
Normalized kNN (test)	0.025009844088577295	0.5079718677654107
Average Rating	0.03647480264281629	0.5090494275308783
Popularity	0.10321468519791702	0.5056523067947246
Random	0.00910542921786774	0.46197708176859803

