====================
Dataset: ml10m
====================

P@10
Recommender	Full	Test
iMF (full)	0.10503162654912848	0.0
iMF (test)	0.048015684478662814	0.11471164028735796
kNN (full)	0.09626033944875353	0.0
kNN (test)	0.09592919087552591	0.0
Normalized kNN (full)	0.06324937748647644	0.0
Normalized kNN (test)	0.01114914565385386	0.0
Average Rating	0.003114284896533959	0.11170726122670942
Popularity	0.04462205558258679	0.0
Random	5.523913105698504E-4	0.0

Recall@10
Recommender	Full	Test
iMF (full)	0.11135355254875975	0.0
iMF (test)	0.05106277722848009	0.13993533676406864
kNN (full)	0.10664424490403981	0.0
kNN (test)	0.10599935416226143	0.0
Normalized kNN (full)	0.08234811632797813	0.0
Normalized kNN (test)	0.012338356978675965	0.0
Average Rating	0.0038869174479453346	0.13849844686558738
Popularity	0.04437128616509038	0.0
Random	3.6286171551282696E-4	0.0

nDCG@10
Recommender	Full	Test
iMF (full)	0.14600397563480708	0.0
iMF (test)	0.06295037632089524	0.16507958376563886
kNN (full)	0.136877720792062	0.0
kNN (test)	0.1364519995992507	0.0
Normalized kNN (full)	0.08765301531509245	0.0
Normalized kNN (test)	0.01185437524219143	0.0
Average Rating	0.003234588831373438	0.16050060060197383
Popularity	0.06097049451446819	0.0
Random	6.077508153668818E-4	0.0

FScore@10
Recommender	Full	Test
iMF (full)	0.08590813169790282	0.0
iMF (test)	0.03941443214159583	0.10390725691829428
kNN (full)	0.08018581704492425	0.0
kNN (test)	0.07977568857610054	0.0
Normalized kNN (full)	0.05764038852121123	0.0
Normalized kNN (test)	0.008977275970357069	0.0
Average Rating	0.0027700617961776584	0.10207467463559676
Popularity	0.03484255947993823	0.0
Random	3.3889098413738736E-4	0.0

