====================
Dataset: ml1m/young
====================

P@10
Recommender	Full	Test
iMF (full)	0.20216216216216215	0.6016216216216217
iMF (test)	0.02792792792792793	0.6143243243243243
kNN (full/test)	0.1807207207207207	0.6078378378378378
Normalized kNN (full)	0.09297297297297298	0.5927927927927927
Normalized kNN (test)	0.011711711711711712	0.6145945945945945
Average Rating	0.014594594594594593	0.6047747747747747
Popularity	0.11342342342342344	0.5743243243243243
Random	0.006756756756756757	0.526936936936937

Recall@10
Recommender	Full	Test
iMF (full)	0.1733651105122938	0.6686104532051889
iMF (test)	0.025337273858703907	0.6797570367223219
kNN (full/test)	0.15799947425170763	0.6726456300895748
Normalized kNN (full)	0.08931666092452803	0.6600959487784956
Normalized kNN (test)	0.006547621209127585	0.6818338500093801
Average Rating	0.008622210593551612	0.6760575162348555
Popularity	0.08942874208108308	0.6559600968716841
Random	0.00566009701215662	0.6246267041961144

nDCG@10
Recommender	Full	Test
iMF (full)	0.25545324713635875	0.7997659124279302
iMF (test)	0.03053945712255206	0.805866282231832
kNN (full/test)	0.22919980284959177	0.8060497129033399
Normalized kNN (full)	0.1039375365221558	0.7872719624105942
Normalized kNN (test)	0.010838301890447105	0.8131984050430627
Average Rating	0.018279641202516808	0.7941349846805694
Popularity	0.13496201521903406	0.7590773829817101
Random	0.007092322702279594	0.6862682297246882

FScore@10
Recommender	Full	Test
iMF (full)	0.1587259001539641	0.5419909370239416
iMF (test)	0.021616430770767196	0.5528519509361491
kNN (full/test)	0.14061389738026342	0.5462820814658638
Normalized kNN (full)	0.07620613937313933	0.5331924183887855
Normalized kNN (test)	0.00637719396939779	0.55415392626061
Average Rating	0.008349970112802049	0.5479130498181838
Popularity	0.08416617421550243	0.5251719654267685
Random	0.004668661521916179	0.49075870812141587

