====================
Dataset: ml100k/male
====================

P@10
Recommender	Full	Test
iMF (full)	0.26740298507462684	0.5805074626865672
iMF (test)	0.10140298507462689	0.5919402985074627
kNN (full)	0.24576119402985075	0.5811343283582089
kNN (test)	0.2448059701492537	0.5814626865671643
Normalized kNN (full)	0.15188059701492537	0.571910447761194
Normalized kNN (test)	0.04746268656716418	0.5915522388059702
Average Rating	0.009791044776119404	0.5862686567164179
Popularity	0.14388059701492537	0.5486567164179105
Random	0.008567164179104478	0.4891343283582089

Recall@10
Recommender	Full	Test
iMF (full)	0.2750300410275332	0.6920575104554468
iMF (test)	0.09981453602617504	0.7023232838530906
kNN (full)	0.252156911629091	0.6938410944092299
kNN (test)	0.250342624260269	0.6929306423568968
Normalized kNN (full)	0.1708914034185379	0.682871623117401
Normalized kNN (test)	0.03625269732241972	0.7015307970564065
Average Rating	0.006491050747595521	0.6995976364597094
Popularity	0.13522082030504817	0.6744371137214741
Random	0.00689847573639892	0.6339869981832422

nDCG@10
Recommender	Full	Test
iMF (full)	0.3585784995869961	0.8070492621025716
iMF (test)	0.11855553854234971	0.8217400731662383
kNN (full)	0.33388309809201533	0.8077425395278833
kNN (test)	0.33081536798026145	0.806106238397527
Normalized kNN (full)	0.19221871874385651	0.7930675282896988
Normalized kNN (test)	0.044311649042139495	0.8230481878976649
Average Rating	0.008981379738713166	0.815840325301104
Popularity	0.1820826751112528	0.7549559526332528
Random	0.010039993261428235	0.6723300772673928

FScore@10
Recommender	Full	Test
iMF (full)	0.22278406695876662	0.5330490874751046
iMF (test)	0.08290776652522627	0.5433496525916595
kNN (full)	0.20394700482138725	0.5344068619160147
kNN (test)	0.2033034663136409	0.533993776634576
Normalized kNN (full)	0.13161378720031702	0.5251495469805272
Normalized kNN (test)	0.0345411210532346	0.542633903220268
Average Rating	0.006604915277669257	0.5396280527911025
Popularity	0.11489285890317599	0.511686803171202
Random	0.0061971054132637865	0.4685196194084432

