====================
Dataset: ml1m
====================

P@10
Recommender	Full	Test
iMF (full)	2.3187499437125184E-4	5.763531311618593E-4
iMF (test)	2.40749439217306E-4	5.871173709409659E-4
kNN (full/test)	2.3257794488660668E-4	6.37047331818016E-4
Normalized kNN (full)	1.2905120401985232E-4	5.851434249849376E-4
Normalized kNN (test)	1.3778862943466158E-5	6.556178421054435E-4
Average Rating	1.94703825792089E-5	6.394431554899966E-4
Popularity	1.8129550043013932E-4	6.039135199330237E-4
Random	1.6174686615446826E-5	4.876793269028179E-4
