====================
Dataset: ml1m
====================

nDCG@10
Target size	iMF (full)	iMF (test)	kNN (full/test)	Normalized kNN (full)	Normalized kNN (test)	Average Rating	Popularity	Random
0	5.738206115706606E-4	6.099143679378762E-4	5.728800420759341E-4	5.759991315643923E-4	5.6748666531712E-4	5.57443901362655E-4	5.174468054397126E-4	3.854564285759376E-4
1	5.549214692147253E-4	6.035343521668613E-4	5.728800420759341E-4	5.851089915637297E-4	5.638914305600728E-4	5.55168758677462E-4	5.174468054397126E-4	3.6666245378108836E-4
2	5.568789953214631E-4	6.068090520190085E-4	5.653886031093721E-4	5.660789093335826E-4	5.46103186213005E-4	5.357729875043466E-4	4.961485095158036E-4	3.1406242842950334E-4
5	5.590409259627783E-4	6.22400948551291E-4	5.728800420759341E-4	5.762725565719954E-4	5.53093183513048E-4	5.420110820028986E-4	5.138495573850644E-4	3.4327552170519097E-4
10	5.246092045771136E-4	6.079836714096287E-4	5.622190753560399E-4	5.409316575991889E-4	5.288010217956148E-4	4.932135071486168E-4	5.021731778772363E-4	3.3335350117468454E-4
20	5.456418881286914E-4	5.77594594262591E-4	5.559822469977228E-4	5.420579765003672E-4	5.113847994447804E-4	4.742971921472395E-4	5.006472389069217E-4	3.004373958697855E-4
50	5.544222688461833E-4	6.030832213543792E-4	5.549502712113658E-4	5.395840441348981E-4	4.648336222925857E-4	4.149111120325648E-4	4.673687538326492E-4	2.4227496231886558E-4
100	5.34184318522621E-4	5.407661965283885E-4	5.399264781904143E-4	5.233651941492577E-4	4.176118749336289E-4	3.591441131790975E-4	4.524429176041958E-4	2.121191971196891E-4
200	5.087275043537327E-4	5.285507978310213E-4	5.036823435143592E-4	4.777872910811316E-4	3.5344232933755336E-4	2.9678626854442883E-4	4.0844666346338067E-4	1.5588488090125397E-4
500	4.339661067113023E-4	4.332019253400026E-4	4.641439554406295E-4	4.248942518922864E-4	2.9473738662223173E-4	1.8857764160100696E-4	3.9355570827534893E-4	7.295819925759252E-5
1000	3.8711041012977863E-4	3.549150058241417E-4	4.0589592522027727E-4	3.2156515896836614E-4	2.225242817917226E-4	1.30195793547584E-4	3.0783160286223913E-4	3.8542388953776316E-5
2000	3.0259066846668954E-4	3.117414294716939E-4	3.6074887026608704E-4	2.4612696199907203E-4	1.6253495540022688E-4	6.306378176579696E-5	2.862062801756895E-4	1.5693835783002204E-5
3706	2.6366941889024314E-4	2.763415133526908E-4	3.2653215574496845E-4	2.0202166644590005E-4	9.423855677670988E-5	2.3099671484175402E-5	2.2806726809527895E-4	1.1039274616268521E-5

P@10
Target size	iMF (full)	iMF (test)	kNN (full/test)	Normalized kNN (full)	Normalized kNN (test)	Average Rating	Popularity	Random
0	5.11036071356466E-4	5.575733073188305E-4	5.25509548654438E-4	5.204712340670341E-4	5.079190170068667E-4	5.041518292125552E-4	4.8319852630830055E-4	3.3829767325805303E-4
1	4.973855160875752E-4	5.513840465845417E-4	5.25509548654438E-4	5.320999028489731E-4	5.041261097434494E-4	5.041518292125552E-4	4.8319852630830055E-4	3.130701501381648E-4
2	5.013918298156687E-4	5.554526203087517E-4	5.25509548654438E-4	5.13135366531886E-4	5.038761627517627E-4	5.001089749574511E-4	4.8319852630830055E-4	2.710174797714574E-4
5	5.052104565481919E-4	5.691139966355471E-4	5.25509548654438E-4	5.207211810587208E-4	5.038761627517627E-4	4.923354734350462E-4	4.7915567205319645E-4	2.921283991445716E-4
10	4.857203067786256E-4	5.577867137835066E-4	5.214666943993339E-4	5.085926182934085E-4	4.922989329080354E-4	4.6274180602161606E-4	4.7915567205319645E-4	3.2188062516881816E-4
20	4.933318407745664E-4	5.473669117985434E-4	5.153654131302675E-4	5.129111390093052E-4	4.919975469781371E-4	4.5731321903187086E-4	4.7915567205319645E-4	2.831268164911216E-4
50	4.968490815771911E-4	5.696396100880264E-4	5.174238401442297E-4	5.007825762439928E-4	4.395467284538547E-4	4.0207984027609324E-4	4.649686822739218E-4	2.238912013605468E-4
100	4.974004144987763E-4	5.279539204362947E-4	4.97459515860396E-4	4.81019918648131E-4	4.0267511415536736E-4	3.397456542772319E-4	4.2963422088294326E-4	2.1763903561565034E-4
200	4.774469112728473E-4	5.085882906589614E-4	4.774211918037414E-4	4.547666260996604E-4	3.394699878164394E-4	3.026135339218826E-4	4.148005182861828E-4	1.455401771486338E-4
500	4.0687993593693567E-4	4.3291641310508257E-4	4.4326987774063293E-4	4.1202229740071317E-4	2.8841664180350243E-4	1.9977032388728057E-4	3.908190592163507E-4	7.980019765419955E-5
1000	3.738786493019129E-4	3.5578914238976764E-4	4.005769879798974E-4	3.2343823948060787E-4	2.2579938891317025E-4	1.4755863129678026E-4	3.209504976288663E-4	3.427241342811512E-5
2000	2.9557155433611017E-4	3.0228709696052683E-4	3.683618208542157E-4	2.724354136870833E-4	1.798134975839695E-4	7.924120230920653E-5	3.0305858005139655E-4	1.5145909584563778E-5
