target size	recommender system 1	recommender system 2	Coverage@10	nDCG@10	P@10	Recall@10
0	Normalized kNN (full)	Normalized kNN (test)	0.013874172185430463	0.0469205298013245	0.0469205298013245	0.0469205298013245
0	Normalized kNN (full)	kNN (full/test)	0.013874172185430463	0.046986754966887416	0.046986754966887416	0.046986754966887416
50	Normalized kNN (full)	iMF (full)	0.0	0.05602649006622516	0.05602649006622516	0.05602649006622516
50	Normalized kNN (full)	iMF (test)	0.0	0.05566225165562914	0.05566225165562914	0.05566225165562914
50	Normalized kNN (full)	kNN (full/test)	0.0	0.05602649006622516	0.05602649006622516	0.05602649006622516
50	Normalized kNN (full)	Normalized kNN (test)	0.0	0.07019867549668875	0.07019867549668875	0.07019867549668875
50	Normalized kNN (full)	Random	0.0	0.0976158940397351	0.0976158940397351	0.0976158940397351
50	Normalized kNN (full)	Average Rating	0.0	0.07516556291390729	0.07516556291390729	0.07516556291390729
100	Popularity	Normalized kNN (test)	0.0	0.093841059602649	0.093841059602649	0.093841059602649
100	Popularity	iMF (full)	0.0	0.05864238410596027	0.05864238410596027	0.05864238410596027
100	Popularity	iMF (test)	0.0	0.06764900662251655	0.06764900662251655	0.06764900662251655
100	Popularity	Normalized kNN (full)	0.0	0.0804635761589404	0.0804635761589404	0.0804635761589404
100	Popularity	kNN (full/test)	0.0	0.06549668874172185	0.06549668874172185	0.06549668874172185
100	Popularity	Average Rating	0.0	0.09870860927152318	0.09870860927152318	0.09870860927152318
100	Popularity	Random	0.0	0.10579470198675496	0.10579470198675496	0.10579470198675496
50	iMF (full)	iMF (test)	0.0	0.05221854304635762	0.05221854304635762	0.05221854304635762
50	iMF (full)	kNN (full/test)	0.0	0.05221854304635762	0.05221854304635762	0.05221854304635762
50	iMF (full)	Normalized kNN (test)	0.0	0.05317880794701987	0.05317880794701987	0.05317880794701987
50	iMF (full)	Random	0.0	0.05652317880794702	0.05652317880794702	0.05652317880794702
50	iMF (full)	Average Rating	0.0	0.05374172185430463	0.05374172185430463	0.05374172185430463
100	Normalized kNN (test)	iMF (full)	0.0	0.06	0.06	0.06
100	Normalized kNN (test)	iMF (test)	0.0	0.07142384105960264	0.07142384105960264	0.07142384105960264
100	Normalized kNN (test)	Normalized kNN (full)	0.0	0.0878476821192053	0.0878476821192053	0.0878476821192053
100	Normalized kNN (test)	kNN (full/test)	0.0	0.06602649006622517	0.06602649006622517	0.06602649006622517
100	Normalized kNN (test)	Average Rating	0.0	0.17605960264900664	0.17605960264900664	0.17605960264900664
100	Normalized kNN (test)	Random	0.0	0.15178807947019868	0.15178807947019868	0.15178807947019868
2000	iMF (test)	Popularity	0.0	0.30682119205298014	0.30682119205298014	0.30682119205298014
2000	iMF (test)	Random	0.0	0.44850993377483445	0.44850993377483445	0.44850993377483445
2000	iMF (test)	kNN (full/test)	0.0	0.20552980132450333	0.20552980132450333	0.20552980132450333
2000	iMF (test)	Average Rating	0.0	0.4185099337748344	0.4185099337748344	0.4185099337748344
2000	iMF (test)	iMF (full)	0.0	0.17182119205298013	0.17182119205298013	0.17182119205298013
2000	iMF (test)	Normalized kNN (full)	0.0	0.24880794701986755	0.24880794701986755	0.24880794701986755
2	iMF (full)	Random	0.0	0.04685430463576159	0.04685430463576159	0.04685430463576159
2	iMF (full)	Average Rating	0.0	0.046986754966887416	0.046986754966887416	0.046986754966887416
2	iMF (full)	Popularity	0.0	0.04701986754966887	0.04701986754966887	0.04701986754966887
2	iMF (full)	kNN (full/test)	0.0	0.04695364238410596	0.04695364238410596	0.04695364238410596
2	iMF (full)	iMF (test)	0.0	0.04685430463576159	0.04685430463576159	0.04685430463576159
2	iMF (full)	Normalized kNN (test)	0.0	0.046986754966887416	0.046986754966887416	0.046986754966887416
2	iMF (full)	Normalized kNN (full)	0.0	0.04695364238410596	0.04695364238410596	0.04695364238410596
10	Average Rating	iMF (full)	0.0	0.04728476821192053	0.04728476821192053	0.04728476821192053
10	Average Rating	Normalized kNN (test)	0.0	0.04850993377483444	0.04850993377483444	0.04850993377483444
10	Average Rating	kNN (full/test)	0.0	0.04735099337748344	0.04735099337748344	0.04735099337748344
10	Average Rating	Popularity	0.0	0.04764900662251655	0.04764900662251655	0.04764900662251655
10	Average Rating	iMF (test)	0.0	0.04711920529801324	0.04711920529801324	0.04711920529801324
10	Average Rating	Normalized kNN (full)	0.0	0.04778145695364239	0.04778145695364239	0.04778145695364239
10	Average Rating	Random	0.0	0.0480794701986755	0.0480794701986755	0.0480794701986755
500	kNN (full/test)	iMF (test)	0.0	0.10331125827814569	0.10331125827814569	0.10331125827814569
500	kNN (full/test)	Random	0.0	0.12046357615894039	0.12046357615894039	0.12046357615894039
500	kNN (full/test)	Normalized kNN (full)	0.0	0.1076158940397351	0.1076158940397351	0.1076158940397351
500	kNN (full/test)	Normalized kNN (test)	0.0	0.11900662251655629	0.11900662251655629	0.11900662251655629
500	kNN (full/test)	Average Rating	0.0	0.11864238410596026	0.11864238410596026	0.11864238410596026
500	kNN (full/test)	iMF (full)	0.0	0.09046357615894039	0.09046357615894039	0.09046357615894039
200	iMF (full)	Popularity	0.0	0.06834437086092715	0.06834437086092715	0.06834437086092715
200	iMF (full)	iMF (test)	0.0	0.06751655629139072	0.06751655629139072	0.06751655629139072
200	iMF (full)	Random	0.0	0.07536423841059603	0.07536423841059603	0.07536423841059603
200	iMF (full)	Normalized kNN (full)	0.0	0.07291390728476821	0.07291390728476821	0.07291390728476821
200	iMF (full)	kNN (full/test)	0.0	0.0686092715231788	0.0686092715231788	0.0686092715231788
200	iMF (full)	Normalized kNN (test)	0.0	0.07099337748344371	0.07099337748344371	0.07099337748344371
1	iMF (test)	iMF (full)	1.6556291390728477E-4	0.04685430463576159	0.04685430463576159	0.04685430463576159
1	iMF (test)	Normalized kNN (test)	1.6556291390728477E-4	0.04685430463576159	0.04685430463576159	0.04685430463576159
1	iMF (test)	Normalized kNN (full)	1.6556291390728477E-4	0.04685430463576159	0.04685430463576159	0.04685430463576159
1	iMF (test)	kNN (full/test)	1.6556291390728477E-4	0.04685430463576159	0.04685430463576159	0.04685430463576159
1	iMF (test)	Random	1.6556291390728477E-4	0.0469205298013245	0.0469205298013245	0.0469205298013245
1	iMF (test)	Popularity	1.6556291390728477E-4	0.04685430463576159	0.04685430463576159	0.04685430463576159
1	iMF (test)	Average Rating	1.6556291390728477E-4	0.04685430463576159	0.04685430463576159	0.04685430463576159
10	iMF (full)	Normalized kNN (test)	0.0	0.047218543046357614	0.047218543046357614	0.047218543046357614
10	iMF (full)	kNN (full/test)	0.0	0.047218543046357614	0.047218543046357614	0.047218543046357614
10	iMF (full)	Popularity	0.0	0.047218543046357614	0.047218543046357614	0.047218543046357614
10	iMF (full)	iMF (test)	0.0	0.04711920529801324	0.04711920529801324	0.04711920529801324
10	iMF (full)	Normalized kNN (full)	0.0	0.04748344370860927	0.04748344370860927	0.04748344370860927
10	iMF (full)	Random	0.0	0.047516556291390726	0.047516556291390726	0.047516556291390726
100	iMF (full)	iMF (test)	0.0	0.057847682119205296	0.057847682119205296	0.057847682119205296
100	iMF (full)	Normalized kNN (full)	0.0	0.0628476821192053	0.0628476821192053	0.0628476821192053
100	iMF (full)	kNN (full/test)	0.0	0.05850993377483444	0.05850993377483444	0.05850993377483444
100	iMF (full)	Average Rating	0.0	0.060827814569536426	0.060827814569536426	0.060827814569536426
100	iMF (full)	Random	0.0	0.06254966887417218	0.06254966887417218	0.06254966887417218
20	iMF (full)	iMF (test)	0.0	0.048642384105960265	0.048642384105960265	0.048642384105960265
20	iMF (full)	kNN (full/test)	0.0	0.048741721854304636	0.048741721854304636	0.048741721854304636
20	iMF (full)	Average Rating	0.0	0.04903973509933775	0.04903973509933775	0.04903973509933775
20	iMF (full)	Normalized kNN (full)	0.0	0.051026490066225165	0.051026490066225165	0.051026490066225165
2000	Popularity	Random	0.0	0.4394701986754967	0.4394701986754967	0.4394701986754967
2000	Popularity	kNN (full/test)	0.0	0.2226158940397351	0.2226158940397351	0.2226158940397351
2000	Popularity	Average Rating	0.0	0.41701986754966885	0.41701986754966885	0.41701986754966885
2000	Popularity	iMF (full)	0.0	0.17109271523178807	0.17109271523178807	0.17109271523178807
2000	Popularity	Normalized kNN (full)	0.0	0.24857615894039736	0.24857615894039736	0.24857615894039736
2	Random	Average Rating	0.0	0.04685430463576159	0.04685430463576159	0.04685430463576159
2	Random	Popularity	0.0	0.04701986754966887	0.04701986754966887	0.04701986754966887
2	Random	kNN (full/test)	0.0	0.04695364238410596	0.04695364238410596	0.04695364238410596
2	Random	iMF (test)	0.0	0.04685430463576159	0.04685430463576159	0.04685430463576159
2	Random	Normalized kNN (test)	0.0	0.04685430463576159	0.04685430463576159	0.04685430463576159
2	Random	Normalized kNN (full)	0.0	0.046887417218543045	0.046887417218543045	0.046887417218543045
0	Random	iMF (test)	0.013874172185430463	0.04685430463576159	0.04685430463576159	0.04685430463576159
0	Random	Popularity	0.013874172185430463	0.04711920529801324	0.04711920529801324	0.04711920529801324
0	Random	Average Rating	0.013874172185430463	0.04695364238410596	0.04695364238410596	0.04695364238410596
0	Random	iMF (full)	0.013874172185430463	0.0469205298013245	0.0469205298013245	0.0469205298013245
0	Random	Normalized kNN (test)	0.013874172185430463	0.0469205298013245	0.0469205298013245	0.0469205298013245
0	Random	kNN (full/test)	0.013874172185430463	0.0469205298013245	0.0469205298013245	0.0469205298013245
10	Normalized kNN (test)	kNN (full/test)	0.0	0.047317880794701984	0.047317880794701984	0.047317880794701984
10	Normalized kNN (test)	Popularity	0.0	0.04758278145695364	0.04758278145695364	0.04758278145695364
10	Normalized kNN (test)	iMF (test)	0.0	0.04711920529801324	0.04711920529801324	0.04711920529801324
10	Normalized kNN (test)	Normalized kNN (full)	0.0	0.047417218543046355	0.047417218543046355	0.047417218543046355
10	Normalized kNN (test)	Random	0.0	0.04758278145695364	0.04758278145695364	0.04758278145695364
500	iMF (test)	Random	0.0	0.19996688741721855	0.19996688741721855	0.19996688741721855
500	iMF (test)	Normalized kNN (full)	0.0	0.11400662251655629	0.11400662251655629	0.11400662251655629
500	iMF (test)	Normalized kNN (test)	0.0	0.17655629139072848	0.17655629139072848	0.17655629139072848
500	iMF (test)	Average Rating	0.0	0.1871523178807947	0.1871523178807947	0.1871523178807947
500	iMF (test)	iMF (full)	0.0	0.08990066225165563	0.08990066225165563	0.08990066225165563
3706	kNN (full/test)	Average Rating	0.0	0.31317880794701985	0.31317880794701985	0.31317880794701985
3706	kNN (full/test)	Random	0.0	0.31695364238410595	0.31695364238410595	0.31695364238410595
3706	kNN (full/test)	iMF (test)	0.0	0.2773841059602649	0.2773841059602649	0.2773841059602649
3706	kNN (full/test)	Normalized kNN (test)	0.0	0.3134437086092715	0.3134437086092715	0.3134437086092715
3706	kNN (full/test)	Popularity	0.0	0.29450331125827817	0.29450331125827817	0.29450331125827817
3706	kNN (full/test)	Normalized kNN (full)	0.0	0.2739403973509934	0.2739403973509934	0.2739403973509934
10	kNN (full/test)	Popularity	0.0	0.047417218543046355	0.047417218543046355	0.047417218543046355
10	kNN (full/test)	iMF (test)	0.0	0.04711920529801324	0.04711920529801324	0.04711920529801324
10	kNN (full/test)	Normalized kNN (full)	0.0	0.047417218543046355	0.047417218543046355	0.047417218543046355
10	kNN (full/test)	Random	0.0	0.04745033112582781	0.04745033112582781	0.04745033112582781
10	Popularity	iMF (test)	0.0	0.0471523178807947	0.0471523178807947	0.0471523178807947
10	Popularity	Normalized kNN (full)	0.0	0.04754966887417218	0.04754966887417218	0.04754966887417218
10	Popularity	Random	0.0	0.04788079470198676	0.04788079470198676	0.04788079470198676
200	Popularity	iMF (test)	0.0	0.09006622516556291	0.09006622516556291	0.09006622516556291
200	Popularity	Random	0.0	0.15711920529801324	0.15711920529801324	0.15711920529801324
200	Popularity	Normalized kNN (full)	0.0	0.09774834437086093	0.09774834437086093	0.09774834437086093
200	Popularity	kNN (full/test)	0.0	0.0809271523178808	0.0809271523178808	0.0809271523178808
200	Popularity	Normalized kNN (test)	0.0	0.1366887417218543	0.1366887417218543	0.1366887417218543
100	iMF (test)	Normalized kNN (full)	0.0	0.06596026490066226	0.06596026490066226	0.06596026490066226
100	iMF (test)	kNN (full/test)	0.0	0.06102649006622517	0.06102649006622517	0.06102649006622517
100	iMF (test)	Average Rating	0.0	0.0726158940397351	0.0726158940397351	0.0726158940397351
100	iMF (test)	Random	0.0	0.07321192052980133	0.07321192052980133	0.07321192052980133
500	Random	Normalized kNN (full)	0.0	0.16420529801324504	0.16420529801324504	0.16420529801324504
500	Random	Normalized kNN (test)	0.0	0.3748344370860927	0.3748344370860927	0.3748344370860927
500	Random	Average Rating	0.0	0.5120529801324504	0.5120529801324504	0.5120529801324504
500	Random	iMF (full)	0.0	0.10241721854304636	0.10241721854304636	0.10241721854304636
1	iMF (full)	Normalized kNN (test)	1.6556291390728477E-4	0.046986754966887416	0.046986754966887416	0.046986754966887416
1	iMF (full)	Normalized kNN (full)	1.6556291390728477E-4	0.046986754966887416	0.046986754966887416	0.046986754966887416
1	iMF (full)	kNN (full/test)	1.6556291390728477E-4	0.04695364238410596	0.04695364238410596	0.04695364238410596
1	iMF (full)	Random	1.6556291390728477E-4	0.04701986754966887	0.04701986754966887	0.04701986754966887
1	iMF (full)	Popularity	1.6556291390728477E-4	0.04701986754966887	0.04701986754966887	0.04701986754966887
1	iMF (full)	Average Rating	1.6556291390728477E-4	0.046986754966887416	0.046986754966887416	0.046986754966887416
10	iMF (test)	Normalized kNN (full)	0.0	0.047086092715231787	0.047086092715231787	0.047086092715231787
10	iMF (test)	Random	0.0	0.04718543046357616	0.04718543046357616	0.04718543046357616
50	iMF (test)	kNN (full/test)	0.0	0.053841059602649004	0.053841059602649004	0.053841059602649004
50	iMF (test)	Normalized kNN (test)	0.0	0.05698675496688742	0.05698675496688742	0.05698675496688742
50	iMF (test)	Random	0.0	0.0573841059602649	0.0573841059602649	0.0573841059602649
50	iMF (test)	Average Rating	0.0	0.05735099337748344	0.05735099337748344	0.05735099337748344
1	Normalized kNN (test)	Normalized kNN (full)	1.6556291390728477E-4	0.04695364238410596	0.04695364238410596	0.04695364238410596
1	Normalized kNN (test)	kNN (full/test)	1.6556291390728477E-4	0.04695364238410596	0.04695364238410596	0.04695364238410596
1	Normalized kNN (test)	Random	1.6556291390728477E-4	0.04695364238410596	0.04695364238410596	0.04695364238410596
1	Normalized kNN (test)	Popularity	1.6556291390728477E-4	0.046986754966887416	0.046986754966887416	0.046986754966887416
1	Normalized kNN (test)	Average Rating	1.6556291390728477E-4	0.04705298013245033	0.04705298013245033	0.04705298013245033
20	iMF (test)	kNN (full/test)	0.0	0.048741721854304636	0.048741721854304636	0.048741721854304636
20	iMF (test)	Average Rating	0.0	0.04903973509933775	0.04903973509933775	0.04903973509933775
20	iMF (test)	Normalized kNN (full)	0.0	0.049072847682119204	0.049072847682119204	0.049072847682119204
500	Normalized kNN (full)	Normalized kNN (test)	0.0	0.14350993377483443	0.14350993377483443	0.14350993377483443
500	Normalized kNN (full)	Average Rating	0.0	0.15043046357615894	0.15043046357615894	0.15043046357615894
500	Normalized kNN (full)	iMF (full)	0.0	0.09460264900662252	0.09460264900662252	0.09460264900662252
20	kNN (full/test)	Average Rating	0.0	0.049172185430463575	0.049172185430463575	0.049172185430463575
20	kNN (full/test)	Normalized kNN (full)	0.0	0.049470198675496686	0.049470198675496686	0.049470198675496686
1000	kNN (full/test)	Average Rating	0.0	0.16407284768211922	0.16407284768211922	0.16407284768211922
