====================
Dataset: ml1m
====================

nDCG@10
Target size	iMF (full)	iMF (test)	kNN (full/test)	Normalized kNN (full)	Normalized kNN (test)	Average Rating	Popularity	Random
0	0.8250990327815988	0.8501245258912714	0.8239846294334118	0.8083209821256585	0.8368267031443374	0.8309017227197846	0.7877013489238924	0.7130446142703833
1	0.8205920430941323	0.8437677624196889	0.8197589835239423	0.790492645827184	0.8196492511749037	0.8065976901640948	0.7782188985389757	0.6675829807791933
2	0.8172811498981453	0.8385156753072834	0.8158426389077359	0.7768509481389752	0.8042217085237201	0.7864384865867876	0.7696658515594132	0.6265943652963555
5	0.8078081733378483	0.8214713646987534	0.8050504273864251	0.7426090688638086	0.7631910840243663	0.731907369831069	0.7475330144581193	0.5340870781573775
10	0.7929766712945545	0.7972428771752259	0.7887031298461038	0.6960649961853791	0.7066328270784347	0.6575389561259699	0.7134909310537337	0.41364897418832286
20	0.7737424388480926	0.755637688586053	0.762469215164489	0.6467996600403307	0.6190514983654973	0.5498818238003766	0.6603305561743266	0.2841254706633841
50	0.7331422172176205	0.6639982096182192	0.708464483624325	0.5888959414767829	0.47456500478824726	0.3892715675625528	0.5657907372718481	0.15634601048855243
100	0.6864981456814665	0.5697607723339866	0.6503967021495933	0.5375525706212552	0.36540735852065676	0.27906073939388465	0.48254554193951754	0.09394486205767502
200	0.6268085492305149	0.45887291218832604	0.5781043590294975	0.4688519865719437	0.26727041822136216	0.18580222235526772	0.3959764452591744	0.0519781265227622
500	0.5230013405820342	0.30998820397979243	0.46674290955222286	0.3539326814477851	0.15827039034009277	0.09094630759017573	0.2889590910826289	0.0226244736232993
1000	0.43404271618189655	0.2159262038585962	0.3783817512760063	0.2595053584577075	0.09829961444037778	0.0552612867034971	0.2179933306079441	0.011385214574862232
2000	0.3443615780209431	0.14044683491403862	0.29493283226652217	0.17244621253361364	0.054963541018629006	0.025955643619399428	0.1573252726561969	0.0058782232748251775
3706	0.27083771931353984	0.09352085432528323	0.2304308813296933	0.11065603582357868	0.028429759666464972	0.00985483391708952	0.11371993366973579	0.0032233239013314914

P@10
Target size	iMF (full)	iMF (test)	kNN (full/test)	Normalized kNN (full)	Normalized kNN (test)	Average Rating	Popularity	Random
0	0.5118443708609272	0.5287417218543046	0.5108145695364239	0.5041258278145696	0.519294701986755	0.5162019867549669	0.48682119205298013	0.4442781456953643
1	0.5103278145695365	0.5262019867549669	0.5092549668874172	0.4990496688741722	0.5134337748344371	0.5086655629139073	0.4837251655629139	0.4314238410596027
2	0.5093543046357617	0.5244635761589405	0.5076357615894039	0.49404304635761587	0.5080993377483443	0.5015860927152318	0.4808211920529802	0.4163807947019868
5	0.5053609271523178	0.517907284768212	0.5027781456953643	0.4774635761589404	0.4912450331125828	0.4794271523178807	0.4713907284768212	0.37254304635761587
10	0.4978841059602649	0.506841059602649	0.4944966887417218	0.4494470198675497	0.4632880794701987	0.44135761589403977	0.45536754966887416	0.29984437086092713
20	0.4880927152317881	0.48592715231788075	0.4803211920529801	0.42020198675496684	0.41407947019867547	0.38015231788079473	0.4273079470198676	0.21711589403973514
50	0.46559602649006615	0.43679470198675496	0.4492251655629139	0.38393046357615895	0.3264437086092715	0.28012913907284764	0.37347682119205294	0.12500993377483444
100	0.4395562913907285	0.3823443708609272	0.41473509933774827	0.3513675496688742	0.2565794701986755	0.20760927152317882	0.32347682119205295	0.07749006622516556
200	0.4042185430463577	0.3144503311258278	0.37073178807947016	0.3073940397350993	0.19214238410596027	0.14143046357615896	0.27037086092715235	0.04344701986754967
500	0.34166556291390726	0.2184205298013245	0.30085761589403975	0.23420860927152315	0.11928807947019868	0.0702682119205298	0.2019139072847682	0.01923841059602649
1000	0.2867384105960265	0.15458940397350995	0.2447384105960265	0.17276821192052982	0.07911920529801324	0.04875496688741722	0.15559271523178808	0.0097682119205298
2000	0.22967218543046358	0.10243708609271525	0.19156953642384106	0.11648013245033113	0.04918211920529801	0.02627152317880795	0.1151158940397351	0.005105960264900663
3706	0.18227152317880796	0.06886754966887418	0.15012251655629139	0.0765364238410596	0.028413907284768215	0.011456953642384107	0.08418211920529801	0.0028079470198675498

Recall@10
Target size	iMF (full)	iMF (test)	kNN (full/test)	Normalized kNN (full)	Normalized kNN (test)	Average Rating	Popularity	Random
0	0.7527685382481007	0.7667474666551491	0.7529747835544667	0.7449611044486061	0.7609220706081171	0.7586186782362058	0.7369192247180867	0.7078229348941549
1	0.7510992448599085	0.7641448142621602	0.7511936506647613	0.7387725880654432	0.7552570253625258	0.7513445609872484	0.7334931171754666	0.6937375035623031
2	0.7495381550120994	0.7623592279477338	0.7491639293595856	0.7319661092971768	0.7498319136668633	0.7441267953682129	0.7298712645626406	0.6771429659281002
5	0.7437181227351373	0.7551811234986963	0.7428679931024658	0.705578807410256	0.7310163116707521	0.7191058061139712	0.7178622168433367	0.618578721237649
10	0.7267294017566289	0.7405431008846757	0.7295841542760755	0.6388451324351617	0.6930315608193143	0.6640861709189385	0.6931364560005635	0.4771584184318421
20	0.7084847496408817	0.7105785885446279	0.705607758185358	0.5617965751773887	0.6099589277994567	0.5552758425082038	0.6403965784723986	0.3053307185514207
50	0.6707982771980883	0.6358987942689576	0.653364850220263	0.4969314810491719	0.45414513828073017	0.3830261266843442	0.5376526869348875	0.15239597660113208
100	0.6280054490330105	0.5506645028690869	0.5963273638359625	0.45676508412502415	0.3400246931169689	0.26921535659886364	0.445524830971462	0.08646540426527853
200	0.5709376858128193	0.4439683991706739	0.5259436404813406	0.4128922934754338	0.2459070627756499	0.1798696186395158	0.35608107262803973	0.04521376204058727
500	0.47296408216037855	0.2983222185478663	0.41914368643981614	0.3391279331025897	0.14776141605809742	0.08560021287932447	0.25154049137329126	0.019323191671112044
1000	0.3891391273219211	0.20490290859469704	0.335431567721309	0.2674332047157873	0.09404301728356171	0.058116324504706815	0.184945975236494	0.009374565889495848
2000	0.3062305245537704	0.13225129490107307	0.2582201382467468	0.1902374618860772	0.05455407027938279	0.029715558835701438	0.12975860905910896	0.004972773948683225
3706	0.23899272478766825	0.08749247124900375	0.19870905975473135	0.12781549017771807	0.029206391021912265	0.011609669528489802	0.08869278672198593	0.002738771240701556

