====================
Dataset: ml1m
====================

P@10
Recommender	Full	Test
iMF (full)	2.0131472713965582E-4	3.007942235529054E-4
iMF (test)	1.5383029428934944E-4	3.007942235529054E-4
kNN (full/test)	1.9962819521208525E-4	3.045529155280981E-4
Normalized kNN (full)	1.2781521382365952E-4	3.045529155280981E-4
Normalized kNN (test)	7.306776039656872E-5	3.007942235529054E-4
Average Rating	5.4665407352259135E-5	2.970207360605555E-4
Popularity	2.0383493374485657E-4	2.697930207954904E-4
Random	2.6834366090707456E-5	2.2414158660090714E-4
