====================
Dataset: ml1m
====================

nDCG@10
Target size	iMF (full)	iMF (test)	kNN (full/test)	Normalized kNN (full)	Normalized kNN (test)	Average Rating	Popularity	Random
0	3.199541843830337E-4	3.119713858655548E-4	3.213363177428542E-4	3.24500274554278E-4	3.183211159221636E-4	3.191041456847825E-4	2.8866915308555223E-4	2.3654532486736194E-4
1	3.1726120459086345E-4	2.99619656346081E-4	3.213363177428542E-4	3.24500274554278E-4	3.183211159221636E-4	3.191041456847825E-4	2.8866915308555223E-4	2.1683115044402525E-4
2	3.167916180825878E-4	3.05290390714987E-4	3.1627694621700155E-4	3.194409030284254E-4	3.1807851077457575E-4	3.1404477415892986E-4	2.8196627183194273E-4	2.4490299918939715E-4
5	3.1787518324593087E-4	3.079267043245391E-4	3.1729644615634636E-4	3.1236069515219077E-4	2.949909009106112E-4	2.968443252784316E-4	2.773804490901938E-4	1.854104421602832E-4
10	3.082521129625481E-4	2.880059788453142E-4	3.1627694621700155E-4	3.220821526158914E-4	3.075376319735399E-4	2.951200966043007E-4	2.8316607938535826E-4	1.9879169809505675E-4
20	3.124797271064736E-4	2.887361679734182E-4	3.1279326420915213E-4	3.0298239023280005E-4	2.6192183399364755E-4	2.5495164701073997E-4	2.7125916073270486E-4	1.8233015649868903E-4
50	2.9435226816584164E-4	2.771578510286219E-4	2.999063050186034E-4	3.064403665483012E-4	2.444934820023462E-4	2.408533555891993E-4	2.610098078917956E-4	1.4327581633248054E-4
100	2.62992731030367E-4	2.4514672045822434E-4	2.753126053570052E-4	2.5563937295998E-4	2.3548821363653642E-4	2.1616873911007401E-4	2.484479405527229E-4	1.4442917155359976E-4
200	2.4618664468397766E-4	2.4206390530975293E-4	2.962844952165811E-4	2.2817035614201218E-4	2.0964885263694222E-4	1.793721695799572E-4	2.5181356965898257E-4	8.61091283598106E-5
500	2.276550909082846E-4	1.8192005933671126E-4	2.507138946984881E-4	1.8724253116979368E-4	1.3021566963638517E-4	1.289311931677405E-4	2.2718656667504761E-4	8.081508602579368E-5
1000	2.1642463563362153E-4	1.469205009831203E-4	2.2190472832392584E-4	1.6386214117072146E-4	1.0900417096114886E-4	6.704124944513021E-5	2.1761051790065476E-4	4.614052261243925E-5
2000	2.0806160564365393E-4	1.4574266578050427E-4	2.026943991184321E-4	1.264190249405292E-4	6.0138698497065525E-5	4.310549275077162E-5	2.0985470673312592E-4	2.561104778712695E-5
3706	1.4206160156467722E-4	1.0665984566917002E-4	1.6633356427810353E-4	9.958624741058374E-5	4.3538807031259625E-5	2.7081615412131246E-5	1.783964651544515E-4	1.6331027796520162E-5

P@10
Target size	iMF (full)	iMF (test)	kNN (full/test)	Normalized kNN (full)	Normalized kNN (test)	Average Rating	Popularity	Random
0	3.007942235529054E-4	3.007942235529054E-4	3.045529155280981E-4	3.045529155280981E-4	3.007942235529054E-4	2.970207360605555E-4	2.697930207954904E-4	2.2414158660090714E-4
1	2.9671167530373357E-4	2.929951275373088E-4	3.045529155280981E-4	3.045529155280981E-4	3.007942235529054E-4	2.970207360605555E-4	2.697930207954904E-4	2.1245362552011642E-4
2	2.967538195125014E-4	2.970355315777128E-4	2.9843857740519987E-4	2.9843857740519987E-4	3.007942235529054E-4	2.909063979376573E-4	2.636786826725922E-4	2.3221865421801734E-4
5	3.0051251148769406E-4	3.007942235529054E-4	3.007520793441376E-4	3.045529155280981E-4	2.929529833285409E-4	2.871055617536968E-4	2.57564344549694E-4	1.8495211163809975E-4
10	2.868386452056427E-4	2.8688078941441057E-4	2.9843857740519987E-4	3.007520793441376E-4	3.007942235529054E-4	2.871055617536968E-4	2.636786826725922E-4	2.0544362680292486E-4
20	2.9267127126332955E-4	2.834038095044293E-4	2.946798854300072E-4	2.909211934548146E-4	2.632917488255006E-4	2.5340392321025247E-4	2.5376350836573357E-4	1.8352037560499416E-4
50	2.885234030983412E-4	2.801377072452731E-4	2.9232423928230166E-4	2.867965009968749E-4	2.475018042521873E-4	2.3353143038776732E-4	2.5145000642679585E-4	1.6066333598157835E-4
100	2.5745912276781385E-4	2.4287480037431182E-4	2.725360348773522E-4	2.5888951728691143E-4	2.3523098379762305E-4	2.160988721305234E-4	2.3922133018099942E-4	1.2434511598257572E-4
200	2.3577394130533283E-4	2.392235725237035E-4	2.800955630365053E-4	2.4117524696445607E-4	2.196601404580403E-4	1.9268678856657604E-4	2.3922133018099942E-4	9.231150917281465E-5
500	2.2731875255188635E-4	1.9336184980614507E-4	2.510482770625469E-4	1.9689726756304528E-4	1.4334391295447446E-4	1.363751576173547E-4	2.2150705985854408E-4	8.855057485491796E-5
1000	2.162526534484374E-4	1.5784334963814294E-4	2.2193149818821017E-4	1.6983812913305154E-4	1.1998876911645227E-4	8.180883419978855E-5	2.1390538749062313E-4	4.9737722907453044E-5
2000	2.0131472713965582E-4	1.5383029428934944E-4	1.9962819521208525E-4	1.2781521382365952E-4	7.306776039656872E-5	5.4665407352259135E-5	2.0383493374485657E-4	2.6834366090707456E-5
3706	1.361340916399173E-4	1.197181121047003E-4	1.6955641706784013E-4	1.0067178697613011E-4	5.7763833605040026E-5	3.557543989392727E-5	1.727095407038421E-4	1.9089967458331867E-5

Recall@10
Target size	iMF (full)	iMF (test)	kNN (full/test)	Normalized kNN (full)	Normalized kNN (test)	Average Rating	Popularity	Random
0	7.950882881864066E-5	7.998442228062186E-5	8.008179772039368E-5	8.008179772039368E-5	7.998442228062186E-5	7.961763823364536E-5	7.734102579044007E-5	7.283932799897867E-5
1	7.916110194074196E-5	7.947714399039256E-5	8.008179772039368E-5	8.008179772039368E-5	7.998442228062186E-5	7.961763823364536E-5	7.734102579044007E-5	7.306773578854681E-5
2	7.926688845693982E-5	7.961227456030575E-5	7.134702897339625E-5	7.134702897339625E-5	7.998442228062186E-5	7.088286948664793E-5	6.860625704344264E-5	7.494196136412085E-5
5	7.963903617725593E-5	7.998442228062186E-5	7.969787487352899E-5	8.008179772039368E-5	7.946536886384398E-5	7.049894663978323E-5	5.9871488296445226E-5	5.258675230417095E-5
10	7.032895775397271E-5	7.074237524339515E-5	7.134702897339625E-5	7.949705369209207E-5	7.998442228062186E-5	7.049894663978323E-5	6.860625704344264E-5	4.781832167295524E-5
20	7.891916157904113E-5	7.013321037267612E-5	7.097488125308015E-5	7.060273353276406E-5	5.1825213362130236E-5	4.319925403013749E-5	5.948756544958053E-5	3.732090766719978E-5
50	6.210146729720459E-5	4.5429270139496847E-5	6.261226022639884E-5	7.013642173652912E-5	3.430536399808803E-5	2.4749274534427753E-5	5.11367195494478E-5	1.9047607109211837E-5
100	4.3308960636169176E-5	1.7128078735841383E-5	4.43866521652232E-5	3.4912951650933174E-5	1.63484579155634E-5	1.506704839082845E-5	3.3667182055452956E-5	2.4966728690154313E-5
200	3.319519203626945E-5	3.3298826242980696E-5	4.514272273240399E-5	2.497935079361719E-5	1.5338241732854628E-5	1.3189055411690172E-5	3.3667182055452956E-5	6.145667310696411E-6
500	1.6092438589251107E-5	1.286251995565736E-5	3.448790962380455E-5	1.2276053745147693E-5	8.518920345788287E-6	7.687536350021768E-6	2.39344023795739E-5	6.215826501959935E-6
1000	1.5213523960011673E-5	1.0582005307186688E-5	2.3308528836245236E-5	1.0784109148523838E-5	8.033998624718772E-6	5.407980327100285E-6	2.3273366477632172E-5	3.1649546422589835E-6
2000	1.475503142171492E-5	1.0390062438054344E-5	1.3388038661119343E-5	6.938076035859248E-6	4.093263280992522E-6	3.7984740877299927E-6	1.4320207622031094E-5	1.4149438248727844E-6
3706	9.65505702981921E-6	8.256803176142111E-6	1.1041186589468661E-5	5.328569796488957E-6	3.0650132047957408E-6	2.4548885904362757E-6	1.1580760912955848E-5	9.748018271001902E-7

