target size	recommender system 1	recommender system 2	Coverage@10	nDCG@10	P@10	Recall@10	FScore@10
500	Popularity	kNN (test)	1.0	0.06211920529801324	0.23947019867549668	0.23947019867549668	0.23947019867549668
500	Popularity	iMF (test)	1.0	0.0728476821192053	0.2759933774834437	0.2759933774834437	0.2759933774834437
500	Popularity	Random	1.0	0.14870860927152318	0.17642384105960265	0.17642384105960265	0.17642384105960265
500	Popularity	Normalized kNN (full)	0.7062913907284768	0.06745033112582781	0.2589403973509934	0.2589403973509934	0.2589403973509934
500	Popularity	Normalized kNN (test)	1.0	0.13913907284768212	0.2955960264900662	0.2955960264900662	0.2955960264900662
500	Popularity	kNN (full)	1.0	0.05552980132450331	0.22410596026490065	0.22410596026490065	0.22410596026490065
500	Popularity	Average Rating	1.0	0.14228476821192054	0.22764900662251655	0.22764900662251655	0.22764900662251655
500	Popularity	iMF (full)	1.0	0.04105960264900662	0.1675496688741722	0.1675496688741722	0.1675496688741722
20	Popularity	Random	1.0	0.01552980132450331	0.1354635761589404	0.1354635761589404	0.1354635761589404
20	Popularity	Normalized kNN (test)	0.9986754966887417	0.027549668874172185	0.3221523178807947	0.3221523178807947	0.3221523178807947
20	Popularity	iMF (full)	1.0	0.028311258278145696	0.2727152317880795	0.2727152317880795	0.2727152317880795
20	Popularity	iMF (test)	1.0	0.030066225165562913	0.31970198675496686	0.31970198675496686	0.31970198675496686
20	Popularity	kNN (test)	0.9717218543046358	0.037152317880794705	0.3653311258278146	0.3653311258278146	0.3653311258278146
20	Popularity	kNN (full)	0.8969536423841059	0.03552980132450331	0.33857615894039733	0.33857615894039733	0.33857615894039733
20	Popularity	Average Rating	1.0	0.026986754966887416	0.2362251655629139	0.2362251655629139	0.2362251655629139
20	Popularity	Normalized kNN (full)	0.5108609271523179	0.027119205298013246	0.21943708609271523	0.21943708609271523	0.21943708609271523
20	Random	Normalized kNN (test)	0.9986754966887417	0.018973509933774835	0.16771523178807948	0.16771523178807948	0.16771523178807948
20	Random	iMF (full)	1.0	0.013410596026490066	0.06519867549668874	0.06519867549668874	0.06519867549668874
20	Random	iMF (test)	1.0	0.012847682119205298	0.0702317880794702	0.0702317880794702	0.0702317880794702
20	Random	kNN (test)	0.9717218543046358	0.013278145695364238	0.08254966887417219	0.08254966887417219	0.08254966887417219
20	Random	kNN (full)	0.8969536423841059	0.014437086092715231	0.08354304635761589	0.08354304635761589	0.08354304635761589
20	Random	Average Rating	1.0	0.029039735099337747	0.19672185430463576	0.19672185430463576	0.19672185430463576
20	Random	Normalized kNN (full)	0.5108609271523179	0.03403973509933775	0.15688741721854305	0.15688741721854305	0.15688741721854305
50	Popularity	Normalized kNN (full)	0.5217880794701987	0.0373841059602649	0.2504966887417219	0.2504966887417219	0.2504966887417219
50	Popularity	iMF (full)	1.0	0.031026490066225165	0.2433112582781457	0.2433112582781457	0.2433112582781457
50	Popularity	iMF (test)	1.0	0.03281456953642384	0.29205298013245035	0.29205298013245035	0.29205298013245035
50	Popularity	kNN (test)	0.9982781456953642	0.04039735099337748	0.321158940397351	0.321158940397351	0.321158940397351
50	Popularity	Normalized kNN (test)	1.0	0.03708609271523179	0.2534105960264901	0.2534105960264901	0.2534105960264901
50	Popularity	kNN (full)	0.9705629139072848	0.03956953642384106	0.3019205298013245	0.3019205298013245	0.3019205298013245
50	Popularity	Random	1.0	0.025927152317880793	0.08566225165562914	0.08566225165562914	0.08566225165562914
50	Popularity	Average Rating	1.0	0.037582781456953644	0.21304635761589405	0.21304635761589405	0.21304635761589405
5	iMF (full)	Normalized kNN (full)	0.49403973509933774	0.07099337748344371	0.2208609271523179	0.2208609271523179	0.2208609271523179
5	iMF (full)	Random	1.0	0.017417218543046356	0.255	0.255	0.255
5	iMF (full)	Normalized kNN (test)	0.8444701986754967	0.06463576158940397	0.4686754966887417	0.4686754966887417	0.4686754966887417
5	iMF (full)	Average Rating	0.9997682119205298	0.056490066225165565	0.4329139072847682	0.4329139072847682	0.4329139072847682
5	iMF (full)	Popularity	0.9997682119205298	0.05814569536423841	0.44304635761589406	0.44304635761589406	0.44304635761589406
5	iMF (full)	kNN (full)	0.7474834437086093	0.12827814569536425	0.5006953642384105	0.5006953642384105	0.5006953642384105
5	iMF (full)	kNN (test)	0.7940397350993378	0.12894039735099339	0.5280794701986755	0.5280794701986755	0.5280794701986755
5	iMF (full)	iMF (test)	1.0	0.12149006622516556	0.5356291390728477	0.5356291390728477	0.5356291390728477
2000	Normalized kNN (test)	iMF (test)	1.0	0.22142384105960264	0.3256291390728477	0.3256291390728477	0.3256291390728477
2000	Normalized kNN (test)	Popularity	1.0	0.2556953642384106	0.3580794701986755	0.3580794701986755	0.3580794701986755
2000	Normalized kNN (test)	kNN (test)	1.0	0.10271523178807947	0.15102649006622518	0.15102649006622518	0.15102649006622518
2000	Normalized kNN (test)	kNN (full)	1.0	0.0997682119205298	0.1459933774834437	0.1459933774834437	0.1459933774834437
2000	Normalized kNN (test)	Random	1.0	0.4910927152317881	0.5132119205298014	0.5132119205298014	0.5132119205298014
2000	Normalized kNN (test)	Average Rating	1.0	0.4595364238410596	0.606225165562914	0.606225165562914	0.606225165562914
2000	Normalized kNN (test)	iMF (full)	1.0	0.081158940397351	0.12059602649006622	0.12059602649006622	0.12059602649006622
2000	Normalized kNN (test)	Normalized kNN (full)	0.9128145695364238	0.1456291390728477	0.25874172185430466	0.25874172185430466	0.25874172185430466
200	Average Rating	kNN (test)	1.0	0.029205298013245035	0.08798013245033112	0.08798013245033112	0.08798013245033112
