====================
Dataset: ml1m
====================

nDCG@10
Target size	iMF (full)	iMF (test)	kNN (full/test)	Normalized kNN (full)	Normalized kNN (test)	Average Rating	Popularity	Random
0	6.022497625414113E-4	5.922245959782554E-4	6.649228269208501E-4	6.518447441604642E-4	6.146239500172775E-4	6.545072927751847E-4	6.264722677212631E-4	4.871696590310012E-4
1	5.79149402034037E-4	6.261418365999975E-4	6.646059413092681E-4	6.438722640792157E-4	6.105361922682801E-4	6.545072927751847E-4	6.183434449489012E-4	4.870440352033061E-4
2	5.736732005749006E-4	6.504333235928656E-4	6.646059413092681E-4	6.515278585488822E-4	5.924531977465949E-4	6.196755948378571E-4	6.183434449489012E-4	4.4837937561256964E-4
5	5.386978383516113E-4	5.77202083518255E-4	6.250329679994179E-4	5.843415304915129E-4	5.384135553991931E-4	5.501122339679024E-4	6.102710115739934E-4	3.2163130281590447E-4
10	5.652973231581195E-4	5.830321081971798E-4	6.646059413092681E-4	6.250398904324036E-4	5.036793244610331E-4	4.924686701231163E-4	6.041637870148225E-4	3.49382751684304E-4
20	5.769274702442857E-4	5.784648215758407E-4	6.187092070023084E-4	5.791897271740008E-4	5.072647601461834E-4	5.376512870010261E-4	5.759712062328991E-4	2.4090926463031197E-4
50	5.409015889344208E-4	5.152103129224363E-4	6.034219837663014E-4	5.539339100375844E-4	4.1609572089557935E-4	4.1633764992121274E-4	5.666076727582728E-4	2.467746144939525E-4
100	4.947030322724506E-4	3.5018642154250863E-4	4.6827494168292215E-4	4.279717636059589E-4	2.4225202517037009E-4	2.2004281199317684E-4	4.607936793046272E-4	1.2719027097488078E-4
200	5.227763033585685E-4	4.2828868512565725E-4	5.58188711170025E-4	4.82009043910311E-4	1.7701809242151527E-4	1.430101647063574E-4	4.781606851377615E-4	2.735271210479426E-4
500	4.0225133527839994E-4	4.186055470576772E-4	4.8150195587324493E-4	3.545216199096804E-4	1.4554249023195667E-4	9.340707294071511E-5	4.554642010782198E-4	4.165332874554754E-5
1000	3.904768064810967E-4	2.8901205495394944E-4	3.4786815473207024E-4	2.9074906501300055E-4	5.226309408788906E-5	2.8954630538640643E-5	3.068707298787641E-4	2.0502901007027178E-5
2000	2.958259390548967E-4	8.639728492107559E-5	2.636035840035046E-4	1.518393606342034E-4	9.320753588564898E-6	1.3154718191216372E-5	2.708871026209107E-4	1.1230282561549092E-5
3706	2.5293265590476023E-4	4.418113344281352E-5	2.2098143386186736E-4	7.559909807489175E-5	3.9516916298678E-6	9.129078644038073E-6	1.736280198883996E-4	0.0

P@10
Target size	iMF (full)	iMF (test)	kNN (full/test)	Normalized kNN (full)	Normalized kNN (test)	Average Rating	Popularity	Random
0	5.594754940310577E-4	6.120823513794911E-4	6.37047331818016E-4	6.201696946872144E-4	6.556178421054435E-4	6.394431554899966E-4	6.039135199330237E-4	4.7711467178437E-4
1	5.506852002079794E-4	5.878203214563207E-4	6.37047331818016E-4	6.089020890534116E-4	6.499263224697008E-4	6.394431554899966E-4	5.926459142992209E-4	4.808969245347067E-4
2	5.506852002079794E-4	6.296629390256475E-4	6.37047331818016E-4	6.201696946872144E-4	6.387402049746418E-4	6.22565518359195E-4	5.926459142992209E-4	4.1005994647605443E-4
5	5.075715871979793E-4	5.777590321925691E-4	5.907534564819365E-4	5.388495496488581E-4	5.924463296385623E-4	5.593940058923137E-4	5.869543946634781E-4	3.3572178846646804E-4
10	5.144526141356515E-4	5.677624219994397E-4	6.37047331818016E-4	5.851434249849376E-4	5.392714273648104E-4	5.230967407493637E-4	5.755713553919926E-4	3.983057840556771E-4
20	5.506037120692355E-4	5.933488648145757E-4	5.850619368461937E-4	5.307622063411347E-4	5.517624857994815E-4	5.187101620532331E-4	5.58612230122447E-4	2.7176583734548807E-4
50	5.256387316307104E-4	5.195592797779541E-4	5.850619368461937E-4	4.925556743127786E-4	4.4787318399458096E-4	4.148208602483325E-4	5.58612230122447E-4	2.3732708452088358E-4
100	4.7815534899270146E-4	4.006540650878526E-4	4.631394361075008E-4	4.2938416184589736E-4	2.927829258719568E-4	2.2721558973309492E-4	4.422658153818141E-4	1.2180761614403386E-4
200	4.98652262596352E-4	4.4698188592287103E-4	5.162328502425085E-4	4.1552381076368736E-4	1.9259438867864895E-4	1.4948077566864884E-4	4.659090458126053E-4	2.677391201789198E-4
500	3.79777781477934E-4	4.023496011287105E-4	4.3908555305573465E-4	3.341868566572094E-4	1.8388824587854653E-4	9.134803784619254E-5	4.715022682414825E-4	3.3133811884992384E-5
1000	3.582519648039531E-4	2.8986692727715806E-4	3.0144097698923066E-4	2.6041674357294147E-4	6.940034345625911E-5	3.6348019710010586E-5	2.9319065740401954E-4	3.065650007426784E-5
2000	2.4263923415035832E-4	1.1011813279427855E-4	2.6633321914821005E-4	1.6957207158144522E-4	1.3778862943466158E-5	1.94703825792089E-5	2.4198970108629597E-4	8.087343307723413E-6
3706	2.224659010557946E-4	5.759542646882114E-5	2.0992729998131843E-4	7.695037541034737E-5	5.6915196357427435E-6	1.3778862943466158E-5	1.4255165704814805E-4	0.0

Recall@10
Target size	iMF (full)	iMF (test)	kNN (full/test)	Normalized kNN (full)	Normalized kNN (test)	Average Rating	Popularity	Random
0	2.3214554632723555E-4	2.477229656075682E-4	2.49145736983779E-4	2.4804262344581816E-4	2.4881118330858726E-4	2.4817186763208737E-4	2.3469333230200117E-4	2.153113967544971E-4
1	2.3136209062752465E-4	2.467639920928184E-4	2.49145736983779E-4	2.3552306163048168E-4	2.475176561186457E-4	2.4817186763208737E-4	2.221737704866647E-4	2.1620930077234096E-4
2	2.3136209062752465E-4	2.492898770069901E-4	2.49145736983779E-4	2.4804262344581816E-4	2.477080697706264E-4	2.470687540941265E-4	2.221737704866647E-4	1.7501451168174147E-4
5	2.17031924908364E-4	2.3417625558811852E-4	2.2261566728753188E-4	2.075020458686603E-4	2.2117800007437927E-4	2.1943557085991847E-4	2.208802432967231E-4	1.4662756445290063E-4
10	2.1741975743597733E-4	2.3346097457777092E-4	2.49145736983779E-4	2.3403211556490745E-4	1.9426009785051878E-4	1.936207821740189E-4	2.1829318891684006E-4	1.6386444239019425E-4
20	2.1865211516020755E-4	2.226375683481257E-4	2.2132214009759035E-4	2.0718238803041038E-4	1.8323148210075654E-4	1.8148905288629578E-4	2.044800999115621E-4	1.0582060788991444E-4
50	2.172293437839967E-4	2.0653528170942615E-4	2.2132214009759035E-4	1.8097197617241313E-4	1.402942637956963E-4	1.3855183458123552E-4	2.044800999115621E-4	1.0220640530591818E-4
100	1.9160496875007775E-4	1.2753811466841502E-4	1.555450200141269E-4	1.533387929382051E-4	8.270722193322545E-5	5.6047908050709014E-5	1.4992901445349356E-4	2.0333903838601836E-5
200	1.6818603537124832E-4	1.3142570146189167E-4	1.6975294677067026E-4	1.3901563244269653E-4	2.7957932178691998E-5	1.3627766459531375E-5	1.6135246795452118E-4	6.679277747011923E-5
500	1.2370380672735998E-4	1.2431874983568416E-4	1.3772911047640706E-4	9.763753489257386E-5	3.8102754326719864E-5	2.0395073304313175E-5	1.490984997041808E-4	1.445240468177787E-5
1000	9.581904037545999E-5	8.337554386277665E-5	9.258566509542499E-5	8.05910706072609E-5	5.752254970554666E-6	4.009825756093898E-6	6.684605632254085E-5	2.7162985661523645E-6
2000	7.624669117597526E-5	2.105629004140688E-5	6.58651817471972E-5	5.9664024752123294E-5	1.61318502819147E-6	2.9067122181330025E-6	5.21962327651303E-5	3.196578382499372E-7
3706	7.287618109638124E-5	1.640714860881311E-5	4.8552338476055884E-5	2.9246368262399505E-5	1.2935271899415326E-6	1.61318502819147E-6	3.3263199242145457E-5	0.0

